"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points"
2023,16467,"Maryland","Z. NUAKO",15,"G",2,"0-0",0.0,"0-0",0.0,"0-0",0.0,1,0,0,0,0,0
2023,16467,"Maryland","M. SAREEN",30,"G",2,"0-1",0.0,"0-1",0.0,"0-0",0.0,0,0,0,0,0,0
2023,16467,"Maryland","S. BOSTOCK",33,"G",11,"2-5",40.0,"0-0",0.0,"2-2",100.0,2,0,0,0,0,6
2023,16467,"Maryland","E. FISHER",34,"G",31,"2-4",50.0,"0-0",0.0,"2-4",50.0,4,2,0,2,1,6
2023,16467,"James Madison","P. MCDANIEL",0,"G",26,"10-24",41.7,"5-15",33.3,"0-0",0.0,8,0,0,3,0,25
2023,16467,"James Madison","O. MULLINS",1,"G",20,"2-6",33.3,"2-4",50.0,"0-0",0.0,1,2,4,0,0,6
2023,16467,"James Madison","J. HAZELL",25,"G",29,"2-8",25.0,"0-2",0.0,"0-0",0.0,5,3,3,0,0,4
2023,16467,"James Madison","S. OUDERKIRK",33,"F",23,"0-5",0.0,"0-5",0.0,"0-2",0.0,6,4,2,1,0,0
2023,16467,"James Madison","K. KOZLOVA",35,"F",20,"3-5",60.0,"0-0",0.0,"0-0",0.0,6,2,4,1,1,6
2023,16467,"James Madison","C. STERLING",2,"G",15,"1-2",50.0,"1-1",100.0,"0-0",0.0,0,1,1,0,0,3
2023,16467,"James Madison","H. BRISTOW",3,"G",22,"0-9",0.0,"0-1",0.0,"1-2",50.0,4,1,2,3,1,1
2023,16467,"James Madison","A. BARNES",5,"F",14,"0-4",0.0,"0-0",0.0,"0-0",0.0,5,0,2,0,0,0
2023,16467,"James Madison","C. MILLER",11,"G",12,"1-4",25.0,"0-3",0.0,"4-4",100.0,2,0,1,0,0,6
2023,16467,"James Madison","A. GOODMAN",14,"F",10,"1-2",50.0,"0-0",0.0,"1-2",50.0,4,0,1,0,0,3
2023,16467,"James Madison","J. MILLS",15,"G",0,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0
2023,16467,"James Madison","M. TYNES",23,"F",9,"0-5",0.0,"0-0",0.0,"1-2",50.0,4,0,1,0,1,1
2023,16555,"Indiana","Y. GARZON",12,"G",26,"6-14",42.9,"4-8",50.0,"1-2",50.0,4,2,5,1,1,17
2023,16555,"Indiana","S. SCALIA",14,"G",37,"6-13",46.2,"4-8",50.0,"3-3",100.0,8,1,1,1,0,19
2023,16555,"Indiana","C. MOORE-MCNEIL",22,"G",35,"1-7",14.3,"0-4",0.0,"8-8",100.0,6,8,1,1,1,10
2023,16555,"Indiana","S. PARRISH",33,"G",33,"4-8",50.0,"0-3",0.0,"2-2",100.0,6,0,3,1,0,10
2023,16555,"Indiana","M. HOLMES",54,"F",23,"5-5",100.0,"0-0",0.0,"1-1",100.0,6,0,1,0,1,11
2023,16555,"Indiana","L. BARGESSER",1,"G",19,"1-4",25.0,"0-0",0.0,"0-0",0.0,3,3,1,0,0,2
2023,16555,"Indiana","L. BEAUMONT",5,"G",3,"0-0",0.0,"0-0",0.0,"0-0",0.0,2,0,0,0,0,0
2023,16555,"Indiana","J. LAMENDOLA",20,"G",7,"0-0",0.0,"0-0",0.0,"1-2",50.0,1,0,1,1,0,1
2023,16555,"Indiana","H. SANDVIK",21,"G",3,"0-1",0.0,"0-1",0.0,"0-0",0.0,0,0,0,0,0,0
2023,16555,"Indiana","A. WISNE",25,"C",1,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,1,0
2023,16555,"Indiana","L. MEISTER",52,"F",13,"0-0",0.0,"0-0",0.0,"1-2",50.0,3,0,1,1,1,1
2023,16555,"Maryland","S. SELLERS",0,"G",34,"3-13",23.1,"0-2",0.0,"5-6",83.3,6,3,4,0,0,11
2023,16555,"Maryland","B. ALEXANDER",5,"F",36,"2-7",28.6,"0-4",0.0,"0-0",0.0,1,2,0,3,0,4
2023,16555,"Maryland","J. BROWN-TURNER",11,"G",40,"5-17",29.4,"2-4",50.0,"3-4",75.0,13,1,4,0,0,15
2023,16555,"Maryland","F. MASONIUS",13,"F",21,"3-5",60.0,"0-0",0.0,"1-2",50.0,5,0,1,1,0,7
2023,16555,"Maryland","B. MCDANIEL",24,"G",32,"4-19",21.1,"1-4",25.0,"4-4",100.0,4,2,2,1,0,13
2023,16555,"Maryland","A. KUBEK",14,"F",18,"1-3",33.3,"0-0",0.0,"0-3",0.0,1,2,1,0,0,2
2023,16555,"Maryland","H. DOUMBOUYA",20,"C",0,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0
2023,16555,"Maryland","E. FISHER",34,"G",19,"1-3",33.3,"0-2",0.0,"0-0",0.0,6,0,0,0,1,2
2023,16543,"Maryland","S. SELLERS",0,"G",27,"1-8",12.5,"0-2",0.0,"10-10",100.0,9,7,4,0,0,12
2023,16543,"Maryland","B. ALEXANDER",5,"F",30,"3-9",33.3,"2-6",33.3,"0-0",0.0,0,0,1,1,0,8
2023,16543,"Maryland","J. BROWN-TURNER",11,"G",35,"8-18",44.4,"0-2",0.0,"0-0",0.0,8,0,3,2,0,16
2023,16543,"Maryland","A. KUBEK",14,"F",6,"0-0",0.0,"0-0",0.0,"0-0",0.0,1,0,0,0,0,0
2023,16543,"Maryland","B. MCDANIEL",24,"G",37,"7-14",50.0,"0-1",0.0,"2-3",66.7,4,6,0,3,0,16
2023,16543,"Maryland","L. BRIGGS",3,"G",35,"6-12",50.0,"2-4",50.0,"2-2",100.0,6,0,1,2,0,16
2023,16543,"Maryland","F. MASONIUS",13,"F",19,"3-6",50.0,"0-0",0.0,"0-0",0.0,7,2,5,0,0,6
2023,16543,"Maryland","E. FISHER",34,"G",11,"0-0",0.0,"0-0",0.0,"2-4",50.0,2,0,0,1,0,2
2023,16543,"Ohio St.","T. THIERRY",2,"G",31,"6-7",85.7,"0-1",0.0,"5-6",83.3,9,2,1,0,1,17
2023,16543,"Ohio St.","J. SHELDON",4,"G",38,"3-10",30.0,"0-6",0.0,"4-4",100.0,1,5,4,1,0,10
2023,16543,"Ohio St.","C. TAYLOR",12,"G",30,"4-11",36.4,"1-5",20.0,"2-4",50.0,8,2,3,2,1,11
2023,16543,"Ohio St.","R. MIKULASIKOVA",23,"F",29,"7-13",53.8,"3-6",50.0,"3-4",75.0,3,3,2,0,1,20
2023,16543,"Ohio St.","C. MCMAHON",32,"F",35,"5-12",41.7,"0-2",0.0,"4-7",57.1,9,3,4,1,1,14
2023,16543,"Ohio St.","M. GREENE",0,"G",8,"1-2",50.0,"0-1",0.0,"0-0",0.0,1,1,1,0,0,2
2023,16543,"Ohio St.","R. HARRIS",1,"G",13,"0-5",0.0,"0-4",0.0,"2-4",50.0,3,1,1,1,0,2
2023,16543,"Ohio St.","E. SHUMATE",5,"G",4,"1-2",50.0,"0-1",0.0,"0-0",0.0,1,0,0,0,1,2
2023,16543,"Ohio St.","T. PARKS",14,"F",7,"2-2",100.0,"0-0",0.0,"0-1",0.0,3,0,0,0,0,4
2023,16543,"Ohio St.","E. WALKER",22,"F",5,"1-1",100.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,2
2023,16538,"Maryland","S. SELLERS",0,"G",39,"6-16",37.5,"1-3",33.3,"0-0",0.0,8,10,3,5,2,13
2023,16538,"Maryland","B. ALEXANDER",5,"F",17,"3-8",37.5,"1-5",20.0,"0-0",0.0,1,0,0,0,0,7
2023,16538,"Maryland","J. BROWN-TURNER",11,"G",30,"4-12",33.3,"0-1",0.0,"5-6",83.3,7,1,2,1,1,13
2023,16538,"Maryland","A. KUBEK",14,"F",31,"7-13",53.8,"1-1",100.0,"2-4",50.0,4,0,0,0,0,17
2023,16538,"Maryland","B. MCDANIEL",24,"G",15,"4-8",50.0,"0-1",0.0,"0-0",0.0,5,1,1,1,0,8
2023,16538,"Maryland","R. NELSON",2,"G",10,"1-1",100.0,"0-0",0.0,"0-1",0.0,0,1,0,0,0,2
2023,16538,"Maryland","F. MASONIUS",13,"F",27,"0-4",0.0,"0-0",0.0,"9-10",90.0,6,2,4,2,0,9
2023,16538,"Maryland","H. DOUMBOUYA",20,"C",3,"0-3",0.0,"0-0",0.0,"0-0",0.0,1,0,1,0,0,0
2023,16538,"Maryland","S. BOSTOCK",33,"G",2,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0
2023,16538,"Maryland","E. FISHER",34,"G",26,"1-1",100.0,"0-0",0.0,"0-2",0.0,7,3,0,1,0,2
2023,16538,"Northwestern","C. LAU",2,"G",28,"2-7",28.6,"0-3",0.0,"0-0",0.0,4,6,3,2,1,4
2023,16538,"Northwestern","C. WALSH",10,"F",24,"3-11",27.3,"0-4",0.0,"2-2",100.0,4,2,3,0,0,8
2023,16538,"Northwestern","H. WEAVER",11,"G",23,"3-10",30.0,"0-2",0.0,"3-3",100.0,2,2,0,1,1,9
2023,16538,"Northwestern","C. HARTER",12,"G",31,"4-11",36.4,"2-3",66.7,"0-0",0.0,5,1,1,0,0,10
2023,16538,"Northwestern","P. MOTT",20,"F",25,"1-2",50.0,"0-0",0.0,"0-0",0.0,3,0,3,0,2,2
2023,16538,"Northwestern","R. MUTOMBO",0,"F",1,"0-0",0.0,"0-0",0.0,"0-0",0.0,1,0,0,0,0,0
2023,16538,"Northwestern","M. PINA",3,"G",12,"1-4",25.0,"1-3",33.3,"0-0",0.0,1,0,2,0,0,3
2023,16538,"Northwestern","M. ADEMUSAYO",13,"F",8,"0-2",0.0,"0-0",0.0,"0-0",0.0,2,0,1,0,0,0
2023,16538,"Northwestern","M. DALEY",21,"G",27,"7-12",58.3,"0-0",0.0,"0-0",0.0,5,3,3,1,0,14
2023,16538,"Northwestern","A. GOODCHILD",22,"F",4,"2-4",50.0,"2-3",66.7,"0-0",0.0,0,0,0,0,0,6
2023,16538,"Northwestern","J. MCWILLIAMS",23,"G",13,"0-1",0.0,"0-0",0.0,"2-2",100.0,2,0,1,0,0,2
2023,16538,"Northwestern","C. WANG",31,"F",4,"0-0",0.0,"0-0",0.0,"0-0",0.0,2,1,0,0,0,0
2023,16556,"Maryland","S. SELLERS",0,"G",26,"4-7",57.1,"0-0",0.0,"3-4",75.0,1,8,4,1,2,11
2023,16556,"Maryland","B. ALEXANDER",5,"F",36,"4-9",44.4,"3-7",42.9,"1-2",50.0,6,3,1,1,0,12
2023,16556,"Maryland","J. BROWN-TURNER",11,"G",40,"5-15",33.3,"1-2",50.0,"3-4",75.0,8,2,2,0,1,14
2023,16556,"Maryland","F. MASONIUS",13,"F",22,"2-7",28.6,"0-0",0.0,"1-2",50.0,3,0,1,1,0,5
2023,16556,"Maryland","B. MCDANIEL",24,"G",39,"8-14",57.1,"0-1",0.0,"4-8",50.0,10,0,4,3,0,20
2023,16556,"Maryland","A. KUBEK",14,"F",30,"4-10",40.0,"2-2",100.0,"3-4",75.0,6,1,0,0,1,13
2023,16556,"Maryland","E. FISHER",34,"G",7,"0-2",0.0,"0-0",0.0,"0-0",0.0,2,0,2,0,1,0
2023,16556,"Illinois","G. BRYANT",1,"G",38,"5-11",45.5,"0-4",0.0,"3-4",75.0,2,4,4,0,0,13
2023,16556,"Illinois","M. COOK",3,"G",39,"7-24",29.2,"1-4",25.0,"2-2",100.0,5,8,2,0,0,17
2023,16556,"Illinois","A. MCKENZIE",24,"G",22,"0-6",0.0,"0-0",0.0,"0-0",0.0,3,1,1,0,0,0
