team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Penn State,2,0,2,0.0,96,48.0,142,48.0,71.0,-23.0,42,118,35.59322033898305,1,13,7.6923076923076925,11,22,50.0,36.016949152542374,37.59398496240601,0.1864406779661017,61,30.5,21,10.5,0.5384615384615384,16,8.0,13,6.5,39,19.5,35,17.5
Towson,1,0,1,0.0,52,52.0,81,52.0,81.0,-29.0,22,66,33.33333333333333,3,18,16.666666666666664,5,7,71.42857142857143,35.60606060606061,37.63752171395483,0.10606060606060606,32,32.0,11,11.0,0.7333333333333333,7,7.0,2,2.0,15,15.0,15,15.0
Iowa,1,0,1,0.0,88,88.0,93,88.0,93.0,-5.0,31,59,52.54237288135594,8,15,53.333333333333336,18,22,81.81818181818183,59.32203389830508,64.065230052417,0.3728813559322034,29,29.0,15,15.0,1.1538461538461537,6,6.0,1,1.0,13,13.0,26,26.0
Loyola,1,0,1,0.0,43,43.0,65,43.0,65.0,-22.0,16,55,29.09090909090909,6,15,40.0,5,6,83.33333333333334,34.54545454545455,37.300485773768216,0.10909090909090909,33,33.0,9,9.0,0.45,10,10.0,2,2.0,20,20.0,13,13.0
Wisconsin,1,0,1,0.0,70,70.0,81,70.0,81.0,-11.0,28,62,45.16129032258064,7,22,31.818181818181817,7,10,70.0,50.806451612903224,52.71084337349398,0.16129032258064516,34,34.0,11,11.0,0.7333333333333333,4,4.0,5,5.0,15,15.0,18,18.0
Mount St. Mary's,1,0,1,0.0,45,45.0,109,45.0,109.0,-64.0,15,51,29.411764705882355,5,14,35.714285714285715,10,20,50.0,34.31372549019608,37.62541806020067,0.39215686274509803,30,30.0,7,7.0,0.2413793103448276,7,7.0,2,2.0,29,29.0,20,20.0
George Washington,1,0,1,0.0,65,65.0,75,65.0,75.0,-10.0,29,67,43.28358208955223,3,9,33.33333333333333,4,9,44.44444444444444,45.52238805970149,45.80045095828636,0.13432835820895522,39,39.0,16,16.0,0.7272727272727273,8,8.0,3,3.0,22,22.0,22,22.0
Michigan,1,0,1,0.0,65,65.0,91,65.0,91.0,-26.0,28,66,42.42424242424242,5,15,33.33333333333333,4,7,57.14285714285714,46.21212121212121,47.04690214244355,0.10606060606060606,25,25.0,14,14.0,1.1666666666666667,7,7.0,2,2.0,12,12.0,21,21.0
Minnesota,1,0,1,0.0,73,73.0,77,73.0,77.0,-4.0,32,61,52.459016393442624,4,13,30.76923076923077,5,6,83.33333333333334,55.73770491803278,57.35386549340038,0.09836065573770492,32,32.0,22,22.0,1.4666666666666666,4,4.0,6,6.0,15,15.0,14,14.0
Tennessee,1,0,1,0.0,48,48.0,58,48.0,58.0,-10.0,22,68,32.35294117647059,4,22,18.181818181818183,0,1,0.0,35.294117647058826,35.067212156633545,0.014705882352941176,40,40.0,9,9.0,0.8181818181818182,8,8.0,4,4.0,11,11.0,16,16.0
Coppin State,1,0,1,0.0,51,51.0,110,51.0,110.0,-59.0,20,51,39.21568627450981,2,3,66.66666666666666,9,20,45.0,41.17647058823529,42.642140468227424,0.39215686274509803,28,28.0,8,8.0,0.27586206896551724,1,1.0,0,0.0,29,29.0,21,21.0
American,1,0,1,0.0,50,50.0,94,50.0,94.0,-44.0,17,58,29.310344827586203,6,19,31.57894736842105,10,17,58.82352941176471,34.48275862068966,38.17959682345754,0.29310344827586204,28,28.0,7,7.0,0.3888888888888889,8,8.0,1,1.0,18,18.0,19,19.0
Purdue,1,0,1,0.0,64,64.0,88,64.0,88.0,-24.0,25,56,44.642857142857146,3,14,21.428571428571427,11,14,78.57142857142857,47.32142857142857,51.48005148005148,0.25,28,28.0,9,9.0,0.6,7,7.0,3,3.0,15,15.0,18,18.0
New Mexico State,1,0,1,0.0,57,57.0,75,57.0,75.0,-18.0,22,58,37.93103448275862,5,21,23.809523809523807,8,9,88.88888888888889,42.241379310344826,45.997417688831504,0.15517241379310345,20,20.0,9,9.0,0.8181818181818182,13,13.0,4,4.0,11,11.0,18,18.0
