source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2024,18351,3,330,00,Shyanne Sellers,4,02,Kaylene Smikle,LAYUP,12,47.0,39.0,02 Kaylene Smikle LAYUP GOOD (12 Pt); 00 Shyanne Sellers Assist (4 Asst)
2024,18351,3,306,06,Saylor Poffenbarger,2,02,Kaylene Smikle,LAYUP,14,49.0,41.0,02 Kaylene Smikle LAYUP GOOD (14 Pt); 06 Saylor Poffenbarger Assist (2 Asst)
2024,18351,3,137,24,Bri McDaniel,3,06,Saylor Poffenbarger,3PTR,9,53.0,46.0,06 Saylor Poffenbarger 3PTR GOOD (9 Pt); 24 Bri McDaniel Assist (3 Asst)
2024,18351,4,306,00,Shyanne Sellers,5,06,Saylor Poffenbarger,3PTR,12,60.0,57.0,06 Saylor Poffenbarger 3PTR GOOD (12 Pt); 00 Shyanne Sellers Assist (5 Asst)
2024,18351,4,272,00,Shyanne Sellers,6,24,Bri McDaniel,3PTR,12,63.0,57.0,24 Bri McDaniel 3PTR GOOD (12 Pt); 00 Shyanne Sellers Assist (6 Asst)
2024,18351,4,71,01,Sarah Te-Biasu,2,02,Kaylene Smikle,JUMPER,18,67.0,63.0,02 Kaylene Smikle JUMPER GOOD (18 Pt); 01 Sarah Te-Biasu Assist (2 Asst)
2024,18351,4,36,00,Shyanne Sellers,7,15,Christina Dalce,LAYUP,2,70.0,66.0,15 Christina Dalce LAYUP GOOD (2 Pt); 00 Shyanne Sellers Assist (7 Asst)
2024,18730,1,580,01,Sarah Te-Biasu,1,00,Shyanne Sellers,3PTR,3,3.0,0.0,00 Shyanne Sellers 3PTR GOOD (3 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18730,1,370,14,Allie Kubek,1,15,Christina Dalce,JUMPER,2,10.0,8.0,15 Christina Dalce JUMPER GOOD (2 Pt); 14 Allie Kubek Assist (1 Asst)
2024,18730,1,250,14,Allie Kubek,2,00,Shyanne Sellers,JUMPER,7,14.0,12.0,00 Shyanne Sellers JUMPER GOOD (7 Pt); 14 Allie Kubek Assist (2 Asst)
2024,18730,2,587,14,Allie Kubek,3,00,Shyanne Sellers,3PTR,10,22.0,15.0,00 Shyanne Sellers 3PTR GOOD (10 Pt); 14 Allie Kubek Assist (3 Asst)
2024,18730,3,171,01,Sarah Te-Biasu,2,14,Allie Kubek,3PTR,10,48.0,62.0,14 Allie Kubek 3PTR GOOD (10 Pt); 01 Sarah Te-Biasu Assist (2 Asst)
2024,18730,4,463,01,Sarah Te-Biasu,3,14,Allie Kubek,3PTR,14,63.0,71.0,14 Allie Kubek 3PTR GOOD (14 Pt); 01 Sarah Te-Biasu Assist (3 Asst)
