team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Coppin St.,1,0,1,0.0,47,47.0,70,47.0,70.0,-23.0,18,55,32.72727272727273,5,22,22.727272727272727,6,9,66.66666666666666,37.27272727272727,39.85753052917232,0.16363636363636364,31,31.0,8,8.0,0.47058823529411764,9,9.0,1,1.0,17,17.0,16,16.0
Syracuse,1,0,1,0.0,73,73.0,84,73.0,84.0,-11.0,28,67,41.7910447761194,8,18,44.44444444444444,9,10,90.0,47.76119402985074,51.120448179271705,0.14925373134328357,32,32.0,13,13.0,1.0,9,9.0,5,5.0,13,13.0,18,18.0
Towson,1,0,1,0.0,63,63.0,98,63.0,98.0,-35.0,23,59,38.983050847457626,8,26,30.76923076923077,9,12,75.0,45.76271186440678,49.004355942750465,0.2033898305084746,18,18.0,14,14.0,0.875,5,5.0,1,1.0,16,16.0,12,12.0
Saint Francis,1,0,1,0.0,35,35.0,107,35.0,107.0,-72.0,12,53,22.641509433962266,5,28,17.857142857142858,6,12,50.0,27.358490566037734,30.027453671928622,0.22641509433962265,24,24.0,10,10.0,0.43478260869565216,3,3.0,3,3.0,23,23.0,19,19.0
Duke,1,0,1,0.0,80,80.0,85,80.0,85.0,-5.0,30,73,41.0958904109589,6,17,35.294117647058826,14,26,53.84615384615385,45.20547945205479,47.37091425864519,0.3561643835616438,40,40.0,18,18.0,1.125,17,17.0,5,5.0,16,16.0,21,21.0
Purdue,1,0,1,0.0,69,69.0,78,69.0,78.0,-9.0,28,55,50.90909090909091,7,17,41.17647058823529,6,13,46.15384615384615,57.27272727272727,56.81818181818182,0.23636363636363636,30,30.0,13,13.0,0.8666666666666667,6,6.0,3,3.0,15,15.0,20,20.0
Norfolk St.,1,0,1,0.0,69,69.0,82,69.0,82.0,-13.0,27,62,43.54838709677419,7,25,28.000000000000004,8,11,72.72727272727273,49.193548387096776,51.615798922800714,0.1774193548387097,26,26.0,13,13.0,1.1818181818181819,10,10.0,4,4.0,11,11.0,21,21.0
Northwestern,1,0,1,0.0,79,79.0,85,79.0,85.0,-6.0,27,57,47.368421052631575,1,4,25.0,24,35,68.57142857142857,48.24561403508772,54.55801104972375,0.6140350877192983,39,39.0,17,17.0,0.7727272727272727,11,11.0,5,5.0,22,22.0,21,21.0
Michigan St.,1,0,1,0.0,66,66.0,72,66.0,72.0,-6.0,23,71,32.3943661971831,6,24,25.0,14,18,77.77777777777779,36.61971830985916,41.81449569183984,0.2535211267605634,37,37.0,8,8.0,0.5,8,8.0,4,4.0,16,16.0,21,21.0
Alabama,1,0,1,0.0,108,108.0,111,108.0,111.0,-3.0,40,74,54.054054054054056,8,22,36.36363636363637,20,29,68.96551724137932,59.45945945945946,62.24066390041494,0.3918918918918919,37,37.0,21,21.0,1.05,14,14.0,3,3.0,20,20.0,27,27.0
Penn St.,1,0,1,0.0,73,73.0,82,73.0,82.0,-9.0,29,63,46.03174603174603,2,13,15.384615384615385,13,20,65.0,47.61904761904761,50.83565459610028,0.31746031746031744,30,30.0,20,20.0,1.1111111111111112,12,12.0,2,2.0,18,18.0,13,13.0
Minnesota,1,0,1,0.0,92,92.0,99,92.0,99.0,-7.0,34,71,47.88732394366197,8,25,32.0,16,20,80.0,53.52112676056338,57.64411027568922,0.28169014084507044,31,31.0,17,17.0,1.4166666666666667,5,5.0,0,0.0,12,12.0,25,25.0
William & Mary,1,0,1,0.0,57,57.0,107,57.0,107.0,-50.0,23,67,34.32835820895522,7,30,23.333333333333332,4,6,66.66666666666666,39.55223880597015,40.92475588742102,0.08955223880597014,28,28.0,11,11.0,0.6111111111111112,11,11.0,3,3.0,18,18.0,30,30.0
Mount St. Mary's,1,0,1,0.0,52,52.0,87,52.0,87.0,-35.0,19,56,33.92857142857143,7,31,22.58064516129032,7,12,58.333333333333336,40.17857142857143,42.42819843342037,0.21428571428571427,24,24.0,12,12.0,0.631578947368421,4,4.0,1,1.0,19,19.0,21,21.0
Wisconsin,1,0,1,0.0,68,68.0,83,68.0,83.0,-15.0,22,53,41.509433962264154,9,24,37.5,15,21,71.42857142857143,50.0,54.62724935732648,0.39622641509433965,21,21.0,19,19.0,1.1875,6,6.0,3,3.0,16,16.0,20,20.0
Oregon,1,0,1,0.0,61,61.0,79,61.0,79.0,-18.0,19,59,32.20338983050847,8,21,38.095238095238095,15,19,78.94736842105263,38.983050847457626,45.279097387173394,0.3220338983050847,27,27.0,10,10.0,0.7142857142857143,11,11.0,3,3.0,14,14.0,24,24.0
Indiana,1,0,1,0.0,60,60.0,74,60.0,74.0,-14.0,23,55,41.81818181818181,8,23,34.78260869565217,6,9,66.66666666666666,49.09090909090909,50.88195386702849,0.16363636363636364,24,24.0,17,17.0,1.4166666666666667,4,4.0,4,4.0,12,12.0,16,16.0
Rutgers,1,0,1,0.0,61,61.0,78,61.0,78.0,-17.0,22,62,35.483870967741936,7,22,31.818181818181817,10,13,76.92307692307693,41.12903225806452,45.03839338452451,0.20967741935483872,37,37.0,10,10.0,0.4166666666666667,8,8.0,5,5.0,24,24.0,25,25.0
Washington,1,0,1,0.0,73,73.0,81,73.0,81.0,-8.0,28,66,42.42424242424242,10,31,32.25806451612903,7,8,87.5,50.0,52.502876869965476,0.12121212121212122,29,29.0,12,12.0,1.2,10,10.0,5,5.0,10,10.0,19,19.0
George Mason,1,0,1,0.0,56,56.0,66,56.0,66.0,-10.0,23,73,31.506849315068493,7,27,25.925925925925924,3,8,37.5,36.3013698630137,36.591740721380035,0.1095890410958904,42,42.0,11,11.0,0.7333333333333333,6,6.0,3,3.0,15,15.0,24,24.0
Toledo,1,0,1,0.0,70,70.0,92,70.0,92.0,-22.0,24,53,45.28301886792453,6,17,35.294117647058826,16,27,59.25925925925925,50.943396226415096,53.945745992601736,0.5094339622641509,27,27.0,12,12.0,0.6,7,7.0,2,2.0,20,20.0,21,21.0
Iowa,1,0,1,0.0,66,66.0,74,66.0,74.0,-8.0,23,62,37.096774193548384,7,22,31.818181818181817,13,17,76.47058823529412,42.74193548387097,47.49568221070811,0.27419354838709675,44,44.0,11,11.0,0.5238095238095238,9,9.0,3,3.0,21,21.0,22,22.0
