"source_id","player_out_number","player_out_name","player_in_number","player_in_name","times_occurred","games","avg_period","avg_clock_seconds"
"2024-25","42","Amari DeBerry","05","Ava McKennie",3,3,2.0,256.0
"2024-25","05","Ava McKennie","14","Allie Kubek",3,2,1.7,158.0
"2024-25","05","Ava McKennie","10","Mir McLean",3,3,2.3,348.0
"2024-25","03","Emily Fisher","14","Allie Kubek",3,2,3.3,131.0
"2024-25","05","Ava McKennie","24","Bri McDaniel",2,2,2.0,172.0
"2024-25","42","Amari DeBerry","10","Mir McLean",2,2,1.5,266.0
"2024-25","00","Shyanne Sellers","42","Amari DeBerry",2,2,4.0,304.0
"2024-25","01","Sarah Te-Biasu","14","Allie Kubek",2,2,3.5,442.0
"2024-25","10","Mir McLean","54","Shyanne Sellers",2,1,3.0,439.0
"2024-25","14","Allie Kubek","01","Sarah Te-Biasu",2,1,3.0,390.0
"2024-25","03","Emily Fisher","10","Mir McLean",2,2,4.0,228.0
"2024-25","42","Amari DeBerry","03","Emily Fisher",2,2,4.0,114.0
"2024-25","42","Amari DeBerry","24","Bri McDaniel",1,1,4.0,157.0
"2024-25","24","Bri McDaniel","42","Amari DeBerry",1,1,2.0,392.0
"2024-25","54","Shyanne Sellers","02","Kaylene Smikle",1,1,2.0,600.0
"2024-25","14","Allie Kubek","54","Shyanne Sellers",1,1,2.0,487.0
"2024-25","54","Shyanne Sellers","05","Ava McKennie",1,1,2.0,29.0
"2024-25","54","Shyanne Sellers","24","Bri McDaniel",1,1,3.0,519.0
"2024-25","02","Kaylene Smikle","54","Shyanne Sellers",1,1,3.0,469.0
"2024-25","54","Shyanne Sellers","14","Allie Kubek",1,1,3.0,350.0
"2024-25","54","Shyanne Sellers","10","Mir McLean",1,1,3.0,253.0
"2024-25","24","Bri McDaniel","54","Shyanne Sellers",1,1,3.0,186.0
"2024-25","02","Kaylene Smikle","42","Amari DeBerry",1,1,4.0,10.0
"2024-25","03","Emily Fisher","42","Amari DeBerry",1,1,3.0,146.0
"2024-25","42","Amari DeBerry","00","Shyanne Sellers",1,1,4.0,369.0
