assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Yarden Garzon,Breanna Williams,2,4,2.0,0,2,1,1,0
Lea Bartelme,Addi Mack,1,3,3.0,1,0,0,0,0
Kaylene Smikle,Marya Boiko,1,2,2.0,0,1,1,0,0
Marya Boiko,Lea Bartelme,1,3,3.0,1,0,0,0,0
Isimenme Ozzy-Momodu,Saylor Poffenbarger,1,3,3.0,1,0,0,0,0
Mir McLean,Marya Boiko,1,2,2.0,0,1,1,0,0
Kyndal Walker,Ava McKennie,1,2,2.0,0,1,1,0,0
Kaylene Smikle,Oluchi Okananwa,1,2,2.0,0,1,1,0,0
Yarden Garzon,Ava McKennie,1,2,2.0,0,1,1,0,0
Marya Boiko,Kyndal Walker,1,2,2.0,0,1,1,0,0
Oluchi Okananwa,Mir McLean,1,2,2.0,0,1,1,0,0
Saylor Poffenbarger,Mir McLean,1,2,2.0,0,1,1,0,0
Kaylene Smikle,Breanna Williams,1,2,2.0,0,1,1,0,0
Breanna Williams,Marya Boiko,1,2,2.0,0,1,1,0,0
Rainey Welson,Ava McKennie,1,3,3.0,1,0,0,0,0
Mir McLean,Kyndal Walker,1,2,2.0,0,1,1,0,0
Kaylene Smikle,Ava McKennie,1,3,3.0,1,0,0,0,0
Ava McKennie,Isimenme Ozzy-Momodu,1,2,2.0,0,1,1,0,0
Isimenme Ozzy-Momodu,Breanna Williams,1,2,2.0,0,1,1,0,0
Marya Boiko,Kaylene Smikle,1,3,3.0,1,0,0,0,0
Breanna Williams,Rainey Welson,1,3,3.0,1,0,0,0,0
Breanna Williams,Kaylene Smikle,1,2,2.0,0,1,0,1,0
Mir McLean,Oluchi Okananwa,1,2,2.0,0,1,1,0,0
Marya Boiko,Oluchi Okananwa,1,2,2.0,0,1,1,0,0
Yarden Garzon,Kyndal Walker,1,2,2.0,0,1,0,1,0
Breanna Williams,Yarden Garzon,1,3,3.0,1,0,0,0,0
Nicole Fritea,Yarden Garzon,1,2,2.0,0,1,0,1,0
Addi Mack,Isimenme Ozzy-Momodu,1,2,2.0,0,1,1,0,0
Rainey Welson,Addi Mack,1,2,2.0,0,1,1,0,0
Oluchi Okananwa,Kyndal Walker,1,2,2.0,0,1,0,1,0
Marya Boiko,Addi Mack,1,2,2.0,0,1,1,0,0
Rainey Welson,Isimenme Ozzy-Momodu,1,2,2.0,0,1,1,0,0
Saylor Poffenbarger,Rainey Welson,1,3,3.0,1,0,0,0,0
