"source_id","file_id","team","points","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","steals","blocks","turnovers","fouls"
2025.0,19745.0,"Ohio St.",89,"34-68","50.0%","11-22","50.0%","10-11","90.9%",39,22,9,1,11,15
2025.0,19746.0,"Southern California",55,"19-67","28.4%","5-32","15.6%","12-15","80.0%",35,14,6,4,9,22
2025.0,19746.0,"Maryland",62,"18-46","39.1%","4-16","25.0%","22-26","84.6%",40,13,3,3,19,18
2025.0,19747.0,"Ucla",97,"40-64","62.5%","13-23","56.5%","4-9","44.4%",46,31,4,9,16,15
2025.0,19747.0,"Maryland",67,"26-70","37.1%","6-23","26.1%","9-12","75.0%",24,13,4,3,9,11
2025.0,19748.0,"Maryland",78,"28-74","37.8%","5-21","23.8%","17-22","77.3%",45,12,7,6,17,24
2025.0,19748.0,"Iowa",85,"30-66","45.5%","8-18","44.4%","17-22","77.3%",40,21,3,1,17,22
"","","Maryland",82,"30-63","47.6%","6-20","30.0%","16-19","84.2%",32,19,7,1,11,17
"","","Indiana",67,"23-49","46.9%","9-21","42.9%","12-15","80.0%",26,12,1,0,21,19
"","","Southern California",55,"19-67","28.4%","5-32","15.6%","12-15","80.0%",35,14,6,4,9,22
"","","Towson",70,"28-66","42.4%","6-22","27.3%","8-9","88.9%",24,10,10,6,18,15
"","","Central Conn. St.",30,"12-63","19.0%","3-22","13.6%","3-4","75.0%",37,5,4,3,26,16
"","","Delaware St.",21,"7-38","18.4%","1-5","20.0%","6-12","50.0%",21,2,4,4,30,27
"","","Loyola Maryland",26,"9-45","20.0%","4-19","21.1%","4-6","66.7%",25,6,5,1,29,16
"","","Georgetown",66,"19-50","38.0%","8-22","36.4%","20-28","71.4%",27,8,6,2,18,24
"","","Hofstra",38,"14-43","32.6%","4-17","23.5%","6-8","75.0%",17,7,6,0,24,20
"","","Washington",83,"30-82","36.6%","10-32","31.3%","13-18","72.2%",50,12,9,3,12,19
"","","Umbc",54,"19-50","38.0%","5-13","38.5%","11-11","100.0%",19,7,9,4,21,21
"","","Bethune-Cookman",49,"18-54","33.3%","6-19","31.6%","7-10","70.0%",24,8,5,1,26,18
"","","Ucla",97,"40-64","62.5%","13-23","56.5%","4-9","44.4%",46,31,4,9,16,15
"","","Ohio St.",89,"34-68","50.0%","11-22","50.0%","10-11","90.9%",39,22,9,1,11,15
"","","Princeton",68,"25-60","41.7%","9-22","40.9%","9-14","64.3%",28,13,11,3,15,17
"","","Mount St. Mary's",44,"18-61","29.5%","5-24","20.8%","3-5","60.0%",30,4,11,3,22,22
"","","Rutgers",41,"11-55","20.0%","3-16","18.8%","16-22","72.7%",31,10,6,5,20,18
"","","Minnesota",99,"28-77","36.4%","12-30","40.0%","31-40","77.5%",53,21,10,5,19,18
"","","Wisconsin",59,"20-66","30.3%","5-28","17.9%","14-17","82.4%",28,8,7,4,23,26
"","","Iowa",85,"30-66","45.5%","8-18","44.4%","17-22","77.3%",40,21,3,1,17,22
"","","George Mason",62,"25-58","43.1%","6-18","33.3%","6-8","75.0%",28,9,10,3,21,21
"","","Kentucky",66,"25-58","43.1%","10-28","35.7%","6-8","75.0%",38,16,5,6,20,17
"","","Illinois",73,"24-63","38.1%","5-14","35.7%","20-23","87.0%",30,11,7,5,12,18
