source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2019,11443,4,294,05,Kaila Charles,2,01,Shakira Austin,LAYUP,2,62.0,54.0,01 Shakira Austin LAYUP GOOD (14 Pt); 05 Kaila Charles Assist (2 Asst)
2019,11443,4,80,24,Stephanie Jones,1,01,Shakira Austin,JUMPER,2,66.0,68.0,01 Shakira Austin JUMPER GOOD (20 Pt); 24 Stephanie Jones Assist (1 Asst)
2019,11444,1,490,01,Shakira Austin,1,05,Kaila Charles,JUMPER,2,4.0,2.0,05 Kaila Charles JUMPER GOOD (2 Pt); 01 Shakira Austin Assist (1 Asst)
2019,11444,1,472,22,Blair Watson,1,11,Taylor Mikesell,3PTR,3,7.0,2.0,11 Taylor Mikesell 3PTR GOOD (5 Pt); 22 Blair Watson Assist (1 Asst)
2019,11444,1,369,14,Diamond Miller,1,24,Stephanie Jones,JUMPER,2,11.0,4.0,24 Stephanie Jones JUMPER GOOD (2 Pt); 14 Diamond Miller Assist (1 Asst)
2019,11444,1,334,24,Stephanie Jones,1,11,Taylor Mikesell,3PTR,3,14.0,4.0,11 Taylor Mikesell 3PTR GOOD (8 Pt); 24 Stephanie Jones Assist (1 Asst)
2019,11444,1,310,14,Diamond Miller,2,22,Blair Watson,3PTR,3,17.0,4.0,22 Blair Watson 3PTR GOOD (3 Pt); 14 Diamond Miller Assist (2 Asst)
2019,11444,1,281,11,Taylor Mikesell,1,22,Blair Watson,3PTR,3,20.0,4.0,22 Blair Watson 3PTR GOOD (6 Pt); 11 Taylor Mikesell Assist (1 Asst)
2019,11444,1,155,15,Ashley Owusu,1,11,Taylor Mikesell,LAYUP,2,25.0,9.0,11 Taylor Mikesell LAYUP GOOD (10 Pt); 15 Ashley Owusu Assist (1 Asst)
2019,11444,2,514,15,Ashley Owusu,2,22,Blair Watson,3PTR,3,34.0,14.0,22 Blair Watson 3PTR GOOD (9 Pt); 15 Ashley Owusu Assist (2 Asst)
2019,11444,2,434,11,Taylor Mikesell,2,22,Blair Watson,LAYUP,2,38.0,14.0,22 Blair Watson LAYUP GOOD (11 Pt); 11 Taylor Mikesell Assist (2 Asst)
2019,11444,2,361,01,Shakira Austin,2,15,Ashley Owusu,3PTR,3,43.0,17.0,15 Ashley Owusu 3PTR GOOD (7 Pt); 01 Shakira Austin Assist (2 Asst)
2019,11444,2,335,15,Ashley Owusu,3,32,Sara Vujacic,JUMPER,2,45.0,17.0,32 Sara Vujacic JUMPER GOOD (2 Pt); 15 Ashley Owusu Assist (3 Asst)
2019,11444,2,301,15,Ashley Owusu,4,14,Diamond Miller,LAYUP,2,47.0,17.0,14 Diamond Miller LAYUP GOOD (3 Pt); 15 Ashley Owusu Assist (4 Asst)
2019,11444,2,91,15,Ashley Owusu,5,32,Sara Vujacic,3PTR,3,52.0,22.0,32 Sara Vujacic 3PTR GOOD (5 Pt); 15 Ashley Owusu Assist (5 Asst)
2019,11444,2,52,32,Sara Vujacic,1,01,Shakira Austin,LAYUP,2,54.0,22.0,01 Shakira Austin LAYUP GOOD (5 Pt); 32 Sara Vujacic Assist (1 Asst)
2019,11444,3,582,05,Kaila Charles,1,11,Taylor Mikesell,3PTR,3,60.0,24.0,11 Taylor Mikesell 3PTR GOOD (13 Pt); 05 Kaila Charles Assist (1 Asst)
2019,11444,3,375,32,Sara Vujacic,2,05,Kaila Charles,JUMPER,2,70.0,28.0,05 Kaila Charles JUMPER GOOD (7 Pt); 32 Sara Vujacic Assist (2 Asst)
2019,11444,3,232,24,Stephanie Jones,2,01,Shakira Austin,LAYUP,2,72.0,34.0,01 Shakira Austin LAYUP GOOD (10 Pt); 24 Stephanie Jones Assist (2 Asst)
2019,11444,3,165,32,Sara Vujacic,3,14,Diamond Miller,3PTR,3,76.0,35.0,14 Diamond Miller 3PTR GOOD (7 Pt); 32 Sara Vujacic Assist (3 Asst)
2019,11444,3,116,32,Sara Vujacic,4,11,Taylor Mikesell,3PTR,3,79.0,35.0,11 Taylor Mikesell 3PTR GOOD (18 Pt); 32 Sara Vujacic Assist (4 Asst)
2019,11444,3,86,14,Diamond Miller,3,11,Taylor Mikesell,3PTR,3,82.0,35.0,11 Taylor Mikesell 3PTR GOOD (21 Pt); 14 Diamond Miller Assist (3 Asst)
2019,11444,3,45,32,Sara Vujacic,5,14,Diamond Miller,LAYUP,2,84.0,35.0,14 Diamond Miller LAYUP GOOD (9 Pt); 32 Sara Vujacic Assist (5 Asst)
2019,11444,4,475,32,Sara Vujacic,6,24,Stephanie Jones,LAYUP,2,88.0,42.0,24 Stephanie Jones LAYUP GOOD (7 Pt); 32 Sara Vujacic Assist (6 Asst)
2019,11444,4,434,05,Kaila Charles,2,15,Ashley Owusu,3PTR,3,91.0,42.0,15 Ashley Owusu 3PTR GOOD (12 Pt); 05 Kaila Charles Assist (2 Asst)
2019,11444,4,404,15,Ashley Owusu,6,05,Kaila Charles,LAYUP,2,93.0,44.0,05 Kaila Charles LAYUP GOOD (9 Pt); 15 Ashley Owusu Assist (6 Asst)
2019,11444,4,221,14,Diamond Miller,4,24,Stephanie Jones,LAYUP,2,95.0,48.0,24 Stephanie Jones LAYUP GOOD (9 Pt); 14 Diamond Miller Assist (4 Asst)
2019,11444,4,142,01,Shakira Austin,3,24,Stephanie Jones,LAYUP,2,97.0,53.0,24 Stephanie Jones LAYUP GOOD (11 Pt); 01 Shakira Austin Assist (3 Asst)
2019,11444,4,38,01,Shakira Austin,4,11,Taylor Mikesell,JUMPER,2,99.0,55.0,11 Taylor Mikesell JUMPER GOOD (23 Pt); 01 Shakira Austin Assist (4 Asst)
2019,11445,1,595,15,Ashley Owusu,1,11,Taylor Mikesell,JUMPER,2,2.0,0.0,11 Taylor Mikesell JUMPER GOOD (2 Pt); 15 Ashley Owusu Assist (1 Asst)
2019,11445,1,446,15,Ashley Owusu,2,11,Taylor Mikesell,3PTR,3,9.0,2.0,11 Taylor Mikesell 3PTR GOOD (5 Pt); 15 Ashley Owusu Assist (2 Asst)
2019,11445,1,342,22,Blair Watson,1,01,Shakira Austin,LAYUP,2,13.0,2.0,01 Shakira Austin LAYUP GOOD (2 Pt); 22 Blair Watson Assist (1 Asst)
2019,11445,1,312,14,Diamond Miller,1,01,Shakira Austin,LAYUP,2,15.0,4.0,01 Shakira Austin LAYUP GOOD (4 Pt); 14 Diamond Miller Assist (1 Asst)
2019,11445,1,245,01,Shakira Austin,1,14,Diamond Miller,3PTR,3,18.0,5.0,14 Diamond Miller 3PTR GOOD (3 Pt); 01 Shakira Austin Assist (1 Asst)
2019,11445,1,158,32,Sara Vujacic,1,14,Diamond Miller,JUMPER,2,20.0,5.0,14 Diamond Miller JUMPER GOOD (5 Pt); 32 Sara Vujacic Assist (1 Asst)
2019,11445,1,111,14,Diamond Miller,2,11,Taylor Mikesell,3PTR,3,23.0,5.0,11 Taylor Mikesell 3PTR GOOD (8 Pt); 14 Diamond Miller Assist (2 Asst)
2019,11445,2,501,15,Ashley Owusu,3,24,Stephanie Jones,LAYUP,2,27.0,7.0,24 Stephanie Jones LAYUP GOOD (2 Pt); 15 Ashley Owusu Assist (3 Asst)
2019,11445,2,445,15,Ashley Owusu,4,24,Stephanie Jones,LAYUP,2,29.0,9.0,24 Stephanie Jones LAYUP GOOD (4 Pt); 15 Ashley Owusu Assist (4 Asst)
2019,11445,2,277,15,Ashley Owusu,5,05,Kaila Charles,LAYUP,2,33.0,15.0,05 Kaila Charles LAYUP GOOD (6 Pt); 15 Ashley Owusu Assist (5 Asst)
2019,11445,2,179,13,Faith Masonius,1,11,Taylor Mikesell,3PTR,3,36.0,21.0,11 Taylor Mikesell 3PTR GOOD (11 Pt); 13 Faith Masonius Assist (1 Asst)
2019,11445,2,53,15,Ashley Owusu,6,24,Stephanie Jones,JUMPER,2,44.0,21.0,24 Stephanie Jones JUMPER GOOD (6 Pt); 15 Ashley Owusu Assist (6 Asst)
2019,11445,2,0,11,Taylor Mikesell,1,24,Stephanie Jones,LAYUP,2,46.0,24.0,24 Stephanie Jones LAYUP GOOD (8 Pt); 11 Taylor Mikesell Assist (1 Asst)
2019,11445,3,559,15,Ashley Owusu,7,11,Taylor Mikesell,3PTR,3,49.0,26.0,11 Taylor Mikesell 3PTR GOOD (14 Pt); 15 Ashley Owusu Assist (7 Asst)
2019,11445,3,400,15,Ashley Owusu,8,11,Taylor Mikesell,3PTR,3,55.0,30.0,11 Taylor Mikesell 3PTR GOOD (17 Pt); 15 Ashley Owusu Assist (8 Asst)
2019,11445,3,295,22,Blair Watson,2,11,Taylor Mikesell,LAYUP,2,57.0,32.0,11 Taylor Mikesell LAYUP GOOD (19 Pt); 22 Blair Watson Assist (2 Asst)
2019,11445,3,186,01,Shakira Austin,2,05,Kaila Charles,LAYUP,2,62.0,35.0,05 Kaila Charles LAYUP GOOD (11 Pt); 01 Shakira Austin Assist (2 Asst)
2019,11445,3,2,01,Shakira Austin,3,15,Ashley Owusu,LAYUP,2,66.0,37.0,15 Ashley Owusu LAYUP GOOD (8 Pt); 01 Shakira Austin Assist (3 Asst)
2019,11445,4,533,01,Shakira Austin,4,22,Blair Watson,3PTR,3,71.0,39.0,22 Blair Watson 3PTR GOOD (3 Pt); 01 Shakira Austin Assist (4 Asst)
2019,11445,4,491,15,Ashley Owusu,9,22,Blair Watson,3PTR,3,74.0,42.0,22 Blair Watson 3PTR GOOD (6 Pt); 15 Ashley Owusu Assist (9 Asst)
2019,11445,4,317,05,Kaila Charles,1,01,Shakira Austin,JUMPER,2,79.0,46.0,01 Shakira Austin JUMPER GOOD (13 Pt); 05 Kaila Charles Assist (1 Asst)
2019,11445,4,86,13,Faith Masonius,2,14,Diamond Miller,3PTR,3,86.0,51.0,14 Diamond Miller 3PTR GOOD (10 Pt); 13 Faith Masonius Assist (2 Asst)
2019,11445,4,36,13,Faith Masonius,3,24,Stephanie Jones,LAYUP,2,88.0,54.0,24 Stephanie Jones LAYUP GOOD (12 Pt); 13 Faith Masonius Assist (3 Asst)
2019,11446,1,526,01,Shakira Austin,1,11,Taylor Mikesell,JUMPER,2,2.0,3.0,11 Taylor Mikesell JUMPER GOOD (2 Pt); 01 Shakira Austin Assist (1 Asst)
2019,11446,1,526,11,Taylor Mikesell,1,15,Ashley Owusu,3PTR,3,7.0,3.0,15 Ashley Owusu 3PTR GOOD (5 Pt); 11 Taylor Mikesell Assist (1 Asst)
2019,11446,1,130,15,Ashley Owusu,1,05,Kaila Charles,LAYUP,2,21.0,5.0,05 Kaila Charles LAYUP GOOD (4 Pt); 15 Ashley Owusu Assist (1 Asst)
2019,11446,1,69,05,Kaila Charles,1,14,Diamond Miller,3PTR,3,24.0,5.0,14 Diamond Miller 3PTR GOOD (5 Pt); 05 Kaila Charles Assist (1 Asst)
2019,11446,2,530,05,Kaila Charles,2,01,Shakira Austin,LAYUP,2,26.0,10.0,01 Shakira Austin LAYUP GOOD (6 Pt); 05 Kaila Charles Assist (2 Asst)
2019,11446,2,497,22,Blair Watson,1,05,Kaila Charles,LAYUP,2,28.0,10.0,05 Kaila Charles LAYUP GOOD (6 Pt); 22 Blair Watson Assist (1 Asst)
2019,11446,2,475,22,Blair Watson,2,01,Shakira Austin,LAYUP,2,30.0,10.0,01 Shakira Austin LAYUP GOOD (8 Pt); 22 Blair Watson Assist (2 Asst)
2019,11446,2,427,22,Blair Watson,3,01,Shakira Austin,LAYUP,2,33.0,15.0,01 Shakira Austin LAYUP GOOD (11 Pt); 22 Blair Watson Assist (3 Asst)
2019,11446,2,258,11,Taylor Mikesell,2,14,Diamond Miller,JUMPER,2,37.0,19.0,14 Diamond Miller JUMPER GOOD (7 Pt); 11 Taylor Mikesell Assist (2 Asst)
2019,11446,2,176,14,Diamond Miller,1,01,Shakira Austin,LAYUP,2,39.0,19.0,01 Shakira Austin LAYUP GOOD (13 Pt); 14 Diamond Miller Assist (1 Asst)
2019,11446,2,115,15,Ashley Owusu,2,01,Shakira Austin,LAYUP,2,42.0,19.0,01 Shakira Austin LAYUP GOOD (16 Pt); 15 Ashley Owusu Assist (2 Asst)
2019,11446,3,432,15,Ashley Owusu,3,11,Taylor Mikesell,JUMPER,2,56.0,24.0,11 Taylor Mikesell JUMPER GOOD (6 Pt); 15 Ashley Owusu Assist (3 Asst)
2019,11446,3,362,01,Shakira Austin,2,22,Blair Watson,LAYUP,2,59.0,24.0,22 Blair Watson LAYUP GOOD (4 Pt); 01 Shakira Austin Assist (2 Asst)
2019,11446,3,197,14,Diamond Miller,2,32,Sara Vujacic,3PTR,3,65.0,26.0,32 Sara Vujacic 3PTR GOOD (5 Pt); 14 Diamond Miller Assist (2 Asst)
