source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2016,9668,3,447,03,Kaila Charles,2,42,Brionna Jones,LAYUP,2,47.0,20.0,42 Brionna Jones LAYUP GOOD (18 Pt); 03 Kaila Charles Assist (2 Asst)
2016,9668,3,400,05,Destiny Slocum,3,32,S. Walker-Kimbrough,LAYUP,2,51.0,22.0,32 S. Walker-Kimbrough LAYUP GOOD (8 Pt); 05 Destiny Slocum Assist (3 Asst)
2016,9668,3,299,32,S. Walker-Kimbrough,5,14,Jenna Staiti,LAYUP,2,55.0,25.0,14 Jenna Staiti LAYUP GOOD (4 Pt); 32 S. Walker-Kimbrough Assist (5 Asst)
2016,9668,3,281,32,S. Walker-Kimbrough,6,05,Destiny Slocum,LAYUP,2,57.0,25.0,05 Destiny Slocum LAYUP GOOD (8 Pt); 32 S. Walker-Kimbrough Assist (6 Asst)
2016,9668,3,151,01,Ieshia Small,3,24,Stephanie Jones,LAYUP,2,63.0,25.0,24 Stephanie Jones LAYUP GOOD (4 Pt); 01 Ieshia Small Assist (3 Asst)
2016,9668,3,108,01,Ieshia Small,4,22,Blair Watson,3PTR,3,67.0,27.0,22 Blair Watson 3PTR GOOD (3 Pt); 01 Ieshia Small Assist (4 Asst)
2016,9668,4,546,14,Jenna Staiti,1,34,Brianna Fraser,LAYUP,2,75.0,29.0,34 Brianna Fraser LAYUP GOOD (2 Pt); 14 Jenna Staiti Assist (1 Asst)
2016,9668,4,516,01,Ieshia Small,5,21,Sarah Myers,3PTR,3,78.0,29.0,21 Sarah Myers 3PTR GOOD (3 Pt); 01 Ieshia Small Assist (5 Asst)
2016,9668,4,425,14,Jenna Staiti,2,34,Brianna Fraser,LAYUP,2,86.0,29.0,34 Brianna Fraser LAYUP GOOD (6 Pt); 14 Jenna Staiti Assist (2 Asst)
2016,9668,4,392,14,Jenna Staiti,3,34,Brianna Fraser,JUMPER,2,88.0,32.0,34 Brianna Fraser JUMPER GOOD (8 Pt); 14 Jenna Staiti Assist (3 Asst)
2016,9668,4,261,21,Sarah Myers,1,22,Blair Watson,JUMPER,2,93.0,37.0,22 Blair Watson JUMPER GOOD (9 Pt); 21 Sarah Myers Assist (1 Asst)
2016,9668,4,193,22,Blair Watson,1,14,Jenna Staiti,LAYUP,2,97.0,37.0,14 Jenna Staiti LAYUP GOOD (8 Pt); 22 Blair Watson Assist (1 Asst)
2016,9668,4,130,24,Stephanie Jones,1,21,Sarah Myers,3PTR,3,100.0,39.0,21 Sarah Myers 3PTR GOOD (6 Pt); 24 Stephanie Jones Assist (1 Asst)
2016,9668,4,104,24,Stephanie Jones,2,15,Kiah Gillespie,LAYUP,2,102.0,39.0,15 Kiah Gillespie LAYUP GOOD (6 Pt); 24 Stephanie Jones Assist (2 Asst)
2016,9668,4,58,15,Kiah Gillespie,1,14,Jenna Staiti,LAYUP,2,104.0,42.0,14 Jenna Staiti LAYUP GOOD (10 Pt); 15 Kiah Gillespie Assist (1 Asst)
2016,9669,1,586,32,S. Walker-Kimbrough,1,42,Brionna Jones,LAYUP,2,0.0,2.0,42 Brionna Jones LAYUP GOOD (2 Pt); 32 S. Walker-Kimbrough Assist (1 Asst)
2016,9669,1,561,42,Brionna Jones,1,03,Kaila Charles,LAYUP,2,0.0,4.0,03 Kaila Charles LAYUP GOOD (2 Pt); 42 Brionna Jones Assist (1 Asst)
2016,9669,1,526,12,Kristen Confroy,1,42,Brionna Jones,LAYUP,2,0.0,6.0,42 Brionna Jones LAYUP GOOD (4 Pt); 12 Kristen Confroy Assist (1 Asst)
2016,9669,1,478,05,Destiny Slocum,1,03,Kaila Charles,LAYUP,2,0.0,8.0,03 Kaila Charles LAYUP GOOD (4 Pt); 05 Destiny Slocum Assist (1 Asst)
2016,9669,1,374,05,Destiny Slocum,2,34,Brianna Fraser,LAYUP,2,2.0,13.0,34 Brianna Fraser LAYUP GOOD (2 Pt); 05 Destiny Slocum Assist (2 Asst)
2016,9669,1,332,01,Ieshia Small,1,05,Destiny Slocum,3PTR,3,2.0,16.0,05 Destiny Slocum 3PTR GOOD (3 Pt); 01 Ieshia Small Assist (1 Asst)
2016,9669,1,142,12,Kristen Confroy,2,05,Destiny Slocum,3PTR,3,13.0,24.0,05 Destiny Slocum 3PTR GOOD (6 Pt); 12 Kristen Confroy Assist (2 Asst)
2016,9669,1,92,05,Destiny Slocum,3,32,S. Walker-Kimbrough,3PTR,3,15.0,27.0,32 S. Walker-Kimbrough 3PTR GOOD (5 Pt); 05 Destiny Slocum Assist (3 Asst)
2016,9669,2,374,22,Blair Watson,1,05,Destiny Slocum,LAYUP,2,20.0,33.0,05 Destiny Slocum LAYUP GOOD (8 Pt); 22 Blair Watson Assist (1 Asst)
2016,9669,2,314,22,Blair Watson,2,14,Jenna Staiti,LAYUP,2,22.0,36.0,14 Jenna Staiti LAYUP GOOD (2 Pt); 22 Blair Watson Assist (2 Asst)
2016,9669,2,283,05,Destiny Slocum,4,14,Jenna Staiti,LAYUP,2,22.0,38.0,14 Jenna Staiti LAYUP GOOD (4 Pt); 05 Destiny Slocum Assist (4 Asst)
2016,9669,2,252,22,Blair Watson,3,05,Destiny Slocum,LAYUP,2,22.0,40.0,05 Destiny Slocum LAYUP GOOD (11 Pt); 22 Blair Watson Assist (3 Asst)
2016,9669,2,220,01,Ieshia Small,2,32,S. Walker-Kimbrough,3PTR,3,22.0,43.0,32 S. Walker-Kimbrough 3PTR GOOD (8 Pt); 01 Ieshia Small Assist (2 Asst)
2016,9669,2,187,05,Destiny Slocum,5,15,Kiah Gillespie,LAYUP,2,25.0,45.0,15 Kiah Gillespie LAYUP GOOD (4 Pt); 05 Destiny Slocum Assist (5 Asst)
2016,9669,2,131,12,Kristen Confroy,3,05,Destiny Slocum,3PTR,3,27.0,48.0,05 Destiny Slocum 3PTR GOOD (14 Pt); 12 Kristen Confroy Assist (3 Asst)
2016,9669,2,86,01,Ieshia Small,3,05,Destiny Slocum,3PTR,3,30.0,51.0,05 Destiny Slocum 3PTR GOOD (17 Pt); 01 Ieshia Small Assist (3 Asst)
2016,9669,3,587,05,Destiny Slocum,6,42,Brionna Jones,LAYUP,2,32.0,60.0,42 Brionna Jones LAYUP GOOD (9 Pt); 05 Destiny Slocum Assist (6 Asst)
2016,9669,3,530,05,Destiny Slocum,7,32,S. Walker-Kimbrough,3PTR,3,36.0,63.0,32 S. Walker-Kimbrough 3PTR GOOD (11 Pt); 05 Destiny Slocum Assist (7 Asst)
2016,9669,3,205,32,S. Walker-Kimbrough,2,05,Destiny Slocum,3PTR,3,44.0,70.0,05 Destiny Slocum 3PTR GOOD (25 Pt); 32 S. Walker-Kimbrough Assist (2 Asst)
2016,9669,3,167,01,Ieshia Small,4,32,S. Walker-Kimbrough,3PTR,3,44.0,73.0,32 S. Walker-Kimbrough 3PTR GOOD (16 Pt); 01 Ieshia Small Assist (4 Asst)
2016,9669,3,81,32,S. Walker-Kimbrough,3,24,Stephanie Jones,LAYUP,2,46.0,75.0,24 Stephanie Jones LAYUP GOOD (4 Pt); 32 S. Walker-Kimbrough Assist (3 Asst)
2016,9669,3,35,32,S. Walker-Kimbrough,4,01,Ieshia Small,3PTR,3,49.0,78.0,01 Ieshia Small 3PTR GOOD (5 Pt); 32 S. Walker-Kimbrough Assist (4 Asst)
2016,9669,4,563,01,Ieshia Small,5,42,Brionna Jones,LAYUP,2,49.0,80.0,42 Brionna Jones LAYUP GOOD (11 Pt); 01 Ieshia Small Assist (5 Asst)
2016,9669,4,494,15,Kiah Gillespie,1,42,Brionna Jones,LAYUP,2,51.0,82.0,42 Brionna Jones LAYUP GOOD (13 Pt); 15 Kiah Gillespie Assist (1 Asst)
2016,9669,4,289,01,Ieshia Small,6,21,Sarah Myers,3PTR,3,57.0,90.0,21 Sarah Myers 3PTR GOOD (3 Pt); 01 Ieshia Small Assist (6 Asst)
2016,9669,4,196,24,Stephanie Jones,1,03,Kaila Charles,JUMPER,2,59.0,92.0,03 Kaila Charles JUMPER GOOD (9 Pt); 24 Stephanie Jones Assist (1 Asst)
2016,9670,1,254,32,S. Walker-Kimbrough,1,34,Brianna Fraser,JUMPER,2,2.0,12.0,34 Brianna Fraser JUMPER GOOD (2 Pt); 32 S. Walker-Kimbrough Assist (1 Asst)
