"opponent","season","file_id","date","location","is_home","maryland_score","opponent_score","result","margin"
"Louisville","2016-17","9672","12/1/2016","KFC Yum! Center, Louisville, KY",0,78,72,"W",6
"Umbc","2016-17","9673","12/4/2016","College Park, Md. (XFINITY Center)",1,92,42,"W",50
"Towson","2016-17","9674","12/6/2016","College Park, Md. (XFINITY Center)",1,97,63,"W",34
"Saint Peter's","2016-17","9675","12/8/2016","College Park, Md. (XFINITY Center)",1,101,49,"W",52
"Loyola Maryland","2016-17","9676","12/12/2016","Baltimore, Md. (Reitz Arena)",0,79,60,"W",19
"Duquesne","2016-17","9677","12/21/2016","Pittsburgh, Pa. (Palumbo Center)",0,77,57,"W",20
"Connecticut","2016-17","9678","12/29/2016","College Park, Md. (XFINITY Center)",1,81,87,"L",-6
"Minnesota","2016-17","9679","1/1/2017","Minneapolis, Minn. (Williams Arena)",0,83,72,"W",11
"Nebraska","2016-17","9680","1/4/2017","Lincoln, Neb. (Pinnacle Bank Arena)",0,93,49,"W",44
"Northwestern","2016-17","9681","1/7/2017","College Park, Md. (XFINITY Center)",1,96,65,"W",31
"Penn State","2016-17","9682","1/11/2017","College Park, Md. (XFINITY Center)",1,89,83,"W",6
"Iowa","2016-17","9683","1/14/2017","Iowa City (Carver-Hawkeye Arena)",0,98,82,"W",16
"Michigan","2016-17","9684","1/19/2017","College Park, Md. (XFINITY Center)",1,83,70,"W",13
"Rutgers","2016-17","9685","1/22/2017","College Park, Md. (XFINITY Center)",1,80,71,"W",9
"Illinois","2016-17","9686","1/26/2017","State Farm Center",0,94,49,"W",45
"Iowa","2016-17","9687","1/29/2017","College Park, Md. (XFINITY Center)",1,100,81,"W",19
"Purdue","2016-17","9688","2/2/2017","West Lafayette, Ind. (Mackey Arena)",0,85,70,"W",15
"Indiana","2016-17","9689","2/5/2017","Bloomington, Ind. (Assembly Hall)",0,92,56,"W",36
"Illinois","2016-17","9690","2/9/2017","College Park, Md. (XFINITY Center)",1,84,59,"W",25
"Michigan State","2016-17","9691","2/12/2017","East Lansing, Mich. (Breslin Center)",0,89,72,"W",17
"Wisconsin","2016-17","9692","2/15/2017","College Park, Md. (XFINITY Center)",1,89,40,"W",49
"Ohio State","2016-17","9693","2/20/2017","Columbus, Ohio (Value City Arena)",0,87,98,"L",-11
