"official","games","first_season","last_season","umd_wins","umd_losses","avg_fouls_total","avg_fouls_umd","avg_fouls_opp","avg_fta_umd","avg_fta_opp"
"In'Fini Robinson",3,"2024-25","2025-26",2,1,41.3,19.0,22.3,25.3,16.3
"Angie Lewis",2,"2014-15","2015-16",2,0,37.5,17.5,20.0,20.0,16.0
"Metta Roberts",2,"2014-15","2017-18",2,0,29.0,12.5,16.5,18.5,12.5
"Kyle Bacon",2,"2014-15","2024-25",2,0,30.0,12.5,17.5,16.0,4.5
"Brandon Enterline",2,"2015-16","2017-18",2,0,38.5,20.0,18.5,20.5,15.5
"Troy Winters",2,"2016-17","2016-17",2,0,43.0,20.5,22.5,26.5,19.0
"Luis Gonzalez",2,"2016-17","2020-21",2,0,42.5,22.5,20.0,25.5,21.5
"Angela Lewis",2,"2017-18","2017-18",1,1,31.0,16.0,15.0,19.0,15.5
"Michelle Del Duco",2,"2017-18","2022-23",2,0,27.0,13.0,14.0,17.0,9.5
"Tim Green",2,"2018-19","2018-19",2,0,26.5,10.0,16.5,17.0,9.0
"Carmen Portorreal",2,"2018-19","2019-20",2,0,31.5,12.0,19.5,21.0,9.0
"Jeff Cross",2,"2019-20","2020-21",2,0,29.5,12.5,17.0,21.0,13.5
"Kevin Sparrock",2,"2020-21","2020-21",1,1,43.5,24.5,19.0,22.5,26.5
"Meadow Overstreet",2,"2020-21","2022-23",1,1,34.5,18.5,16.0,16.5,21.0
"Natasha Curry",2,"2020-21","2023-24",1,1,42.0,20.0,22.0,21.5,19.5
"Timothy Greene",2,"2020-21","2021-22",2,0,31.5,12.0,19.5,26.0,11.0
"Michael  McConnell",2,"2021-22","2025-26",1,1,35.5,18.5,17.0,16.0,15.0
"Erica Parker",2,"2021-22","2022-23",2,0,28.0,11.0,17.0,16.0,8.0
"Cathi Cornell",2,"2021-22","2021-22",2,0,30.0,12.0,18.0,23.5,7.5
"Ed Sidlasky",2,"2022-23","2022-23",1,1,33.0,17.5,15.5,17.5,16.5
"Pualani Spurlock-Welsh",2,"2022-23","2022-23",1,1,33.5,18.0,15.5,16.5,18.0
"Erika Herriman",2,"2023-24","2025-26",2,0,35.0,13.0,22.0,24.0,12.0
"David Jenkins",2,"2023-24","2023-24",2,0,44.0,20.0,24.0,31.0,16.0
"Natasha Brown",2,"2023-24","2024-25",2,0,45.0,22.5,22.5,28.5,20.5
"David Troyan",2,"2024-25","2025-26",2,0,46.0,23.5,22.5,24.0,27.5
"Cara Seggie",2,"2024-25","2025-26",2,0,32.0,13.5,18.5,22.0,12.0
"Joshua Howell",2,"2025-26","2025-26",2,0,38.5,17.5,21.0,21.0,19.0
"Cheryll Blue",2,"2025-26","2025-26",2,0,28.0,9.5,18.5,27.5,8.0
"Kevin Farlow",1,"2014-15","2014-15",1,0,37.0,15.0,22.0,28.0,9.0
"Shawn Goode",1,"2014-15","2014-15",1,0,37.0,15.0,22.0,28.0,9.0
"JODY CANTRELL/E.KOCH/JOEL ORTIZ",1,"2014-15","2014-15",1,0,32.0,11.0,21.0,27.0,11.0
"BONNIE PETTUS/JOHN FLETCHER/AXEL COLL",1,"2014-15","2014-15",0,1,48.0,26.0,22.0,16.0,28.0
"Dennis DeMayo",1,"2014-15","2014-15",0,1,40.0,23.0,17.0,18.0,34.0
"Mark Zenta",1,"2014-15","2014-15",1,0,23.0,8.0,15.0,11.0,7.0
"Kelly Moyer",1,"2014-15","2014-15",1,0,41.0,20.0,21.0,26.0,20.0
"Alycia Dukes and LaSonia Baker",1,"2014-15","2014-15",1,0,41.0,20.0,21.0,26.0,20.0
"Luara Morris",1,"2014-15","2014-15",1,0,34.0,16.0,18.0,18.0,14.0
"Shannon Feck",1,"2014-15","2014-15",1,0,26.0,12.0,14.0,13.0,6.0
"Bev Roberts",1,"2014-15","2014-15",1,0,34.0,13.0,21.0,21.0,7.0
"Kate Lukanich",1,"2014-15","2014-15",1,0,34.0,13.0,21.0,21.0,7.0
"Rod Creech",1,"2014-15","2014-15",1,0,28.0,11.0,17.0,19.0,13.0
"Pete Contreras",1,"2014-15","2014-15",1,0,25.0,7.0,18.0,21.0,9.0
"Fatou Stephens",1,"2015-16","2015-16",1,0,50.0,25.0,25.0,27.0,22.0
"Kristi Moseley",1,"2015-16","2015-16",1,0,24.0,14.0,10.0,12.0,12.0
"An-jamilah Gregory",1,"2015-16","2015-16",1,0,25.0,12.0,13.0,10.0,11.0
"Roy Jackson",1,"2015-16","2015-16",1,0,25.0,13.0,12.0,11.0,12.0
"Tombi Bell",1,"2015-16","2015-16",1,0,25.0,13.0,12.0,11.0,12.0
"Melody Brown",1,"2015-16","2015-16",1,0,25.0,13.0,12.0,11.0,12.0
"Sue Blach",1,"2015-16","2015-16",0,1,37.0,20.0,17.0,13.0,24.0
"Angie Suffren",1,"2015-16","2015-16",1,0,25.0,13.0,12.0,11.0,16.0
"Michael Price",1,"2015-16","2015-16",1,0,30.0,13.0,17.0,19.0,7.0
"BEVERLY ROBERTS",1,"2015-16","2015-16",1,0,37.0,18.0,19.0,23.0,24.0
"MARK ZENTZ",1,"2015-16","2015-16",1,0,37.0,18.0,19.0,23.0,24.0
"TIM DALEY",1,"2015-16","2015-16",1,0,37.0,18.0,19.0,23.0,24.0
"Tim Daley & Angie Enlund",1,"2015-16","2015-16",1,0,29.0,13.0,16.0,15.0,8.0
"Beverly Roberts & Barb Smith",1,"2015-16","2015-16",1,0,32.0,12.0,20.0,20.0,11.0
"Mark Zentz & Sue Blauch",1,"2015-16","2015-16",1,0,26.0,10.0,16.0,15.0,6.0
"Kathy Lonergan",1,"2015-16","2015-16",1,0,31.0,14.0,17.0,19.0,7.0
"Brenda Pantoja",1,"2015-16","2015-16",0,1,27.0,17.0,10.0,5.0,22.0
"John Whitson",1,"2016-17","2016-17",1,0,40.0,20.0,20.0,16.0,11.0
"Kevin Ruland",1,"2016-17","2016-17",1,0,36.0,21.0,15.0,19.0,27.0
"Katie Hannon",1,"2016-17","2016-17",1,0,36.0,21.0,15.0,19.0,27.0
"Brian Hull",1,"2016-17","2016-17",1,0,39.0,21.0,18.0,15.0,17.0
"Marty Cook",1,"2016-17","2016-17",1,0,39.0,21.0,18.0,15.0,17.0
"Scotty Herman",1,"2016-17","2016-17",1,0,47.0,20.0,27.0,38.0,21.0
"Greg Small",1,"2016-17","2016-17",1,0,47.0,20.0,27.0,38.0,21.0
"Jess Dickerson",1,"2016-17","2016-17",1,0,38.0,18.0,20.0,25.0,18.0
"Kathleen Lonergan",1,"2016-17","2016-17",1,0,30.0,14.0,16.0,23.0,8.0
"Geraldine Smith",1,"2016-17","2016-17",1,0,30.0,14.0,16.0,23.0,8.0
"Isaac Johnson",1,"2016-17","2016-17",1,0,44.0,20.0,24.0,28.0,23.0
"Kristi Mosley",1,"2016-17","2016-17",1,0,44.0,20.0,24.0,28.0,23.0
"Benny Luna",1,"2016-17","2016-17",0,1,35.0,20.0,15.0,17.0,16.0
"Ray Gulbeyan",1,"2017-18","2017-18",1,0,29.0,13.0,16.0,22.0,17.0
"Timothy Bryant",1,"2017-18","2017-18",1,0,30.0,15.0,15.0,20.0,14.0
"Tony Patillo",1,"2017-18","2017-18",1,0,30.0,15.0,15.0,20.0,14.0
"Jeffrey Smith",1,"2017-18","2017-18",1,0,36.0,18.0,18.0,18.0,16.0
"Joel Ortiz",1,"2018-19","2018-19",1,0,23.0,7.0,16.0,11.0,8.0
"Shawn Good",1,"2018-19","2018-19",1,0,23.0,7.0,16.0,11.0,8.0
"Shwan Good",1,"2018-19","2018-19",1,0,30.0,13.0,17.0,23.0,10.0
"Jose Quinones",1,"2018-19","2018-19",1,0,30.0,13.0,17.0,23.0,10.0
"Tim Bryant",1,"2018-19","2018-19",1,0,33.0,11.0,22.0,29.0,11.0
"Jeff  Cross",1,"2018-19","2018-19",1,0,31.0,18.0,13.0,18.0,18.0
"Tim  Daley",1,"2018-19","2018-19",1,0,31.0,18.0,13.0,18.0,18.0
"Felicia  Grinter",1,"2018-19","2018-19",0,1,35.0,25.0,10.0,8.0,29.0
"Julie  Krommenhoek",1,"2018-19","2018-19",1,0,33.0,14.0,19.0,18.0,7.0
"Tommi Paris",1,"2018-19","2018-19",1,0,26.0,15.0,11.0,11.0,14.0
"Douglas Knight",1,"2018-19","2018-19",1,0,26.0,15.0,11.0,11.0,14.0
"Stephanie  Barksdale",1,"2019-20","2019-20",1,0,36.0,16.0,20.0,23.0,8.0
"Karlena Tobin",1,"2019-20","2019-20",1,0,28.0,12.0,16.0,19.0,7.0
"LaSonia Baker",1,"2019-20","2019-20",1,0,42.0,21.0,21.0,25.0,22.0
"Molly Caldwell",1,"2019-20","2019-20",1,0,26.0,14.0,12.0,14.0,4.0
"Nykesha Wyncote",1,"2019-20","2019-20",1,0,36.0,17.0,19.0,22.0,16.0
"Micheal McConnell",1,"2019-20","2019-20",1,0,36.0,17.0,19.0,22.0,16.0
"Barb  Smith",1,"2019-20","2019-20",1,0,34.0,17.0,17.0,26.0,19.0
"Kaz Beverley",1,"2020-21","2020-21",1,0,29.0,16.0,13.0,14.0,22.0
"Nykesha Thopson",1,"2020-21","2020-21",1,0,33.0,15.0,18.0,15.0,9.0
"Hykesha Thompson",1,"2020-21","2020-21",1,0,24.0,13.0,11.0,19.0,18.0
"Mack Zentz",1,"2020-21","2020-21",1,0,24.0,13.0,11.0,19.0,18.0
"Frank  Steratore",1,"2020-21","2020-21",1,0,37.0,18.0,19.0,16.0,17.0
"Kevin Pehtel",1,"2020-21","2020-21",1,0,37.0,18.0,19.0,16.0,17.0
"Cameron	 Portorreal",1,"2020-21","2020-21",1,0,20.0,7.0,13.0,18.0,4.0
"Natosha	 Harris",1,"2020-21","2020-21",1,0,20.0,7.0,13.0,18.0,4.0
"Maggie	 Tieman",1,"2020-21","2020-21",1,0,20.0,7.0,13.0,18.0,4.0
"Denise Kantner",1,"2020-21","2020-21",0,1,31.0,19.0,12.0,10.0,15.0
"Adrienne Gilmore",1,"2021-22","2021-22",1,0,28.0,13.0,15.0,17.0,18.0
"Eric Parker",1,"2021-22","2021-22",1,0,28.0,13.0,15.0,17.0,18.0
"Karleena  Tobin",1,"2021-22","2021-22",1,0,28.0,13.0,15.0,17.0,18.0
"Dan Outlaw",1,"2021-22","2021-22",1,0,38.0,19.0,19.0,25.0,12.0
"Toni Petillo",1,"2021-22","2021-22",1,0,38.0,19.0,19.0,25.0,12.0
"Daryl Humphrey",1,"2021-22","2021-22",1,0,38.0,19.0,19.0,25.0,12.0
"Bryan  Enterline",1,"2021-22","2021-22",1,0,30.0,14.0,16.0,21.0,12.0
"Angelica  Suffren",1,"2021-22","2021-22",1,0,33.0,14.0,19.0,22.0,12.0
"Edward Mathews",1,"2021-22","2021-22",1,0,28.0,18.0,10.0,15.0,19.0
"Desiree Peterkin",1,"2021-22","2021-22",1,0,28.0,18.0,10.0,15.0,19.0
"Gina  Cross",1,"2021-22","2021-22",0,1,40.0,22.0,18.0,23.0,21.0
"Mark  Berger",1,"2021-22","2021-22",1,0,24.0,11.0,13.0,16.0,10.0
"Juvie  Krommenhoek",1,"2021-22","2021-22",0,1,27.0,13.0,14.0,13.0,10.0
"Michael McDonnell",1,"2021-22","2021-22",0,1,27.0,13.0,14.0,13.0,10.0
"Ericka Herriman",1,"2021-22","2021-22",1,0,30.0,16.0,14.0,11.0,11.0
"Karlenna Tobin",1,"2021-22","2021-22",1,0,32.0,15.0,17.0,23.0,11.0
"Mark Kentz",1,"2021-22","2021-22",1,0,32.0,15.0,17.0,23.0,11.0
"Mark McClenney",1,"2021-22","2021-22",1,0,25.0,10.0,15.0,17.0,9.0
"Edward Sidlasky",1,"2021-22","2021-22",1,0,35.0,14.0,21.0,30.0,6.0
