"source_id","file_id","period","time_remaining","seconds_elapsed","team","player_name","player_number","trip_size","made","missed","trip_result","first_attempt_made","margin_before","clutch","trip_context"
"2018-19","9893",3,223,1577,"James Madison","Madison Green",4,2,1,1,"1/2",1,-26,0,""
"2018-19","9893",3,185,1615,"Maryland","Brianna Fraser",34,2,2,0,"2/2",1,25,0,""
"2018-19","9893",3,28,1772,"James Madison","Kayla Cooper-William",31,2,2,0,"2/2",1,-26,0,""
"2018-19","9893",4,566,1834,"James Madison","Lexie Barrier",15,1,1,0,"1/1",1,-22,0,"and_one"
"2018-19","9893",4,513,1887,"Maryland","Brianna Fraser",34,1,1,0,"1/1",1,20,0,"other"
"2018-19","9893",4,246,2154,"James Madison","Kamiah Smalls",3,2,2,0,"2/2",1,-23,0,""
"2018-19","9893",4,154,2246,"James Madison","Aneah Young",10,2,2,0,"2/2",1,-23,0,""
"2018-19","9894",1,397,203,"Maryland","Brianna Fraser",34,2,1,1,"1/2",0,2,0,""
"2018-19","9894",1,282,318,"Loyola","Taleah Dixon",4,2,2,0,"2/2",1,-3,0,""
"2018-19","9894",1,196,404,"Maryland","Stephanie Jones",24,1,1,0,"1/1",1,3,0,"and_one"
"2018-19","9894",2,475,725,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,17,0,""
"2018-19","9894",2,373,827,"Maryland","Shakira Austin",1,1,0,1,"0/1",0,19,0,"and_one"
"2018-19","9894",4,560,1840,"Maryland","Sara Vujacic",32,2,2,0,"2/2",1,27,0,""
"2018-19","9894",4,540,1860,"Loyola","Bri Betz-White",11,2,2,0,"2/2",1,-29,0,""
"2018-19","9894",4,342,2058,"Maryland","Brianna Fraser",34,1,0,1,"0/1",0,35,0,"and_one"
"2018-19","9894",4,110,2290,"Maryland","Sara Vujacic",32,2,2,0,"2/2",1,32,0,""
"2018-19","9894",4,53,2347,"Maryland","Channise Lewis",3,2,1,1,"1/2",1,34,0,""
"2018-19","9895",1,392,208,"Maryland","Shakira Austin",1,2,2,0,"2/2",1,-4,0,""
"2018-19","9895",1,181,419,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,0,0,""
"2018-19","9895",1,132,468,"Maryland","Blair Watson",22,2,2,0,"2/2",1,4,0,""
"2018-19","9895",1,84,516,"Maryland","Stephanie Jones",24,2,2,0,"2/2",1,6,0,""
"2018-19","9895",1,0,600,"Maryland","Brianna Fraser",34,2,0,2,"0/2",0,8,0,""
"2018-19","9895",2,501,699,"Maryland","Stephanie Jones",24,2,2,0,"2/2",1,10,0,""
"2018-19","9895",2,327,873,"Delaware","Jasmine Dickey",20,2,1,1,"1/2",1,-10,0,""
"2018-19","9895",2,296,904,"Maryland","Stephanie Jones",24,1,1,0,"1/1",1,11,0,"other"
"2018-19","9895",2,99,1101,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,9,0,""
