team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Umbc,1,0,1,0.0,61,61.0,92,61.0,92.0,-31.0,22,55,40.0,12,28,42.857142857142854,5,9,55.55555555555556,50.90909090909091,51.72998643147897,0.16363636363636364,28,28.0,15,15.0,0.7894736842105263,4,4.0,1,1.0,19,19.0,22,22.0
Purdue,1,0,1,0.0,55,55.0,58,55.0,58.0,-3.0,22,63,34.92063492063492,6,20,30.0,5,7,71.42857142857143,39.682539682539684,41.616222760290555,0.1111111111111111,33,33.0,15,15.0,1.0714285714285714,10,10.0,4,4.0,14,14.0,19,19.0
James Madison,1,0,1,0.0,63,63.0,87,63.0,87.0,-24.0,22,59,37.28813559322034,7,20,35.0,12,14,85.71428571428571,43.22033898305085,48.342541436464096,0.23728813559322035,29,29.0,7,7.0,0.3684210526315789,6,6.0,3,3.0,19,19.0,12,12.0
Nebraska,2,0,2,0.0,126,63.0,170,63.0,85.0,-22.0,45,117,38.46153846153847,12,31,38.70967741935484,24,37,64.86486486486487,43.58974358974359,47.26890756302521,0.3162393162393162,80,40.0,28,14.0,0.8,14,7.0,16,8.0,35,17.5,29,14.5
Coppin State,1,0,1,0.0,36,36.0,93,36.0,93.0,-57.0,14,56,25.0,3,15,20.0,5,19,26.31578947368421,27.67857142857143,27.967681789931635,0.3392857142857143,39,39.0,7,7.0,0.35,5,5.0,3,3.0,20,20.0,16,16.0
Georgia,1,0,1,0.0,51,51.0,58,51.0,58.0,-7.0,21,78,26.923076923076923,3,12,25.0,6,10,60.0,28.846153846153843,30.94660194174757,0.1282051282051282,42,42.0,9,9.0,1.5,7,7.0,4,4.0,6,6.0,17,17.0
Loyola,1,0,1,0.0,48,48.0,83,48.0,83.0,-35.0,16,54,29.629629629629626,12,27,44.44444444444444,4,4,100.0,40.74074074074074,43.0416068866571,0.07407407407407407,28,28.0,13,13.0,0.8666666666666667,6,6.0,1,1.0,15,15.0,13,13.0
Ohio State,2,0,2,0.0,126,63.0,145,63.0,72.5,-9.5,47,115,40.869565217391305,12,37,32.432432432432435,20,26,76.92307692307693,46.08695652173913,49.82600442897817,0.22608695652173913,62,31.0,20,10.0,0.5555555555555556,17,8.5,6,3.0,36,18.0,38,19.0
Radford,1,0,1,0.0,51,51.0,73,51.0,73.0,-22.0,19,64,29.6875,6,23,26.08695652173913,7,14,50.0,34.375,36.34549600912201,0.21875,40,40.0,12,12.0,0.7058823529411765,7,7.0,4,4.0,17,17.0,11,11.0
Delaware,1,0,1,0.0,53,53.0,77,53.0,77.0,-24.0,22,74,29.72972972972973,1,8,12.5,8,11,72.72727272727273,30.405405405405407,33.61237950279046,0.14864864864864866,46,46.0,13,13.0,0.6842105263157895,8,8.0,2,2.0,19,19.0,22,22.0
