"source_id","lineup","games","stints","seconds","minutes","pts_for","pts_against","plus_minus","net_per_40"
"2015-16","Aja Ellison|Brene Moseley|Brianna Fraser|Kiah Gillespie|Kristen Confroy",1,1,121,2.0,2,3,-1,-19.8
"2015-16","Chloe Pavlech|Kiara Leslie|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",2,2,119,2.0,2,4,-2,-40.3
"2015-16","A'Lexus Harrison|Brene Moseley|Kiara Leslie|Malina Howard|S. Walker-Kimbrough",2,2,118,2.0,4,5,-1,-20.3
"2015-16","Chloe Pavlech|Kiara Leslie|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",4,4,116,1.9,0,4,-4,-82.8
"2015-16","Brene Moseley|Brianna Fraser|Kiah Gillespie|Kristen Confroy|Tierney Pfirman",2,2,113,1.9,2,3,-1,-21.2
"2015-16","Brene Moseley|Brianna Fraser|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",2,2,109,1.8,2,8,-6,-132.1
"2015-16","Brene Moseley|Kiah Gillespie|Kristen Confroy|Malina Howard|Tierney Pfirman",3,3,106,1.8,2,4,-2,-45.3
"2015-16","Brene Moseley|Brianna Fraser|Kiah Gillespie|S. Walker-Kimbrough|Tierney Pfirman",1,1,105,1.8,4,0,4,91.4
"2015-16","A'Lexus Harrison|Brianna Fraser|Chloe Pavlech|Kiara Leslie|Tierney Pfirman",1,1,105,1.8,0,7,-7,-160.0
"2015-16","A'Lexus Harrison|Aja Ellison|Brianna Fraser|Kiara Leslie|Kristen Confroy",1,1,104,1.7,4,2,2,46.2
"2015-16","Brene Moseley|Chloe Pavlech|Kiah Gillespie|Kiara Leslie|S. Walker-Kimbrough",1,1,104,1.7,2,0,2,46.2
"2015-16","Chloe Pavlech|Kiah Gillespie|Kristen Confroy|S. Walker-Kimbrough|Tierney Pfirman",3,3,101,1.7,5,6,-1,-23.8
"2015-16","Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kristen Confroy|Tierney Pfirman",2,2,101,1.7,2,2,0,0.0
"2015-16","A'Lexus Harrison|Chloe Pavlech|Kiah Gillespie|Kiara Leslie|Tierney Pfirman",1,1,100,1.7,2,4,-2,-48.0
"2015-16","A'Lexus Harrison|Brianna Fraser|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough",1,1,99,1.6,0,3,-3,-72.7
"2015-16","A'Lexus Harrison|Brianna Fraser|Kiah Gillespie|Kiara Leslie|Kristen Confroy",1,1,98,1.6,4,9,-5,-122.4
"2015-16","Chloe Pavlech|Kiah Gillespie|Malina Howard|S. Walker-Kimbrough|Tierney Pfirman",1,1,96,1.6,4,5,-1,-25.0
"2015-16","A'Lexus Harrison|Chloe Pavlech|Kiara Leslie|Malina Howard|S. Walker-Kimbrough",1,1,95,1.6,0,2,-2,-50.5
"2015-16","Brionna Jones|Chloe Pavlech|Kiah Gillespie|Kiara Leslie|Tierney Pfirman",1,1,91,1.5,0,3,-3,-79.1
"2015-16","A'Lexus Harrison|Brianna Fraser|Chloe Pavlech|Kiara Leslie|Kristen Confroy",1,1,90,1.5,3,2,1,26.7
"2015-16","Brionna Jones|Chloe Pavlech|Kiara Leslie|Kristen Confroy|Malina Howard",2,5,84,1.4,1,8,-7,-200.0
"2015-16","Brene Moseley|Kiah Gillespie|Kiara Leslie|Kristen Confroy|Tierney Pfirman",1,1,84,1.4,9,4,5,142.9
"2015-16","Brionna Jones|Chloe Pavlech|Kiah Gillespie|Kiara Leslie|Kristen Confroy",1,1,82,1.4,1,2,-1,-29.3
"2015-16","A'Lexus Harrison|Brene Moseley|Kiah Gillespie|Kiara Leslie|Malina Howard",1,1,82,1.4,2,2,0,0.0
"2015-16","A'Lexus Harrison|Aja Ellison|Brionna Jones|Kiara Leslie|Kristen Confroy",1,1,80,1.3,2,1,1,30.0
"2015-16","A'Lexus Harrison|Brene Moseley|Brionna Jones|Kiah Gillespie|Kiara Leslie",1,1,80,1.3,2,0,2,60.0
"2015-16","Brene Moseley|Brionna Jones|Chloe Pavlech|Kiara Leslie|Tierney Pfirman",1,1,80,1.3,2,0,2,60.0
"2015-16","Brene Moseley|Brionna Jones|Chloe Pavlech|Kiah Gillespie|Kristen Confroy",2,2,79,1.3,4,2,2,60.8
"2015-16","A'Lexus Harrison|Brene Moseley|Kiara Leslie|Kristen Confroy|S. Walker-Kimbrough",1,1,79,1.3,0,2,-2,-60.8
"2015-16","A'Lexus Harrison|Brene Moseley|Kiara Leslie|Kristen Confroy|Malina Howard",1,1,78,1.3,5,2,3,92.3
"2015-16","Brene Moseley|Brianna Fraser|Chloe Pavlech|Malina Howard|S. Walker-Kimbrough",1,1,76,1.3,0,0,0,0.0
"2015-16","Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kristen Confroy|Malina Howard",1,1,75,1.2,0,0,0,0.0
"2015-16","Aja Ellison|Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kiara Leslie",1,1,75,1.2,2,2,0,0.0
"2015-16","Brene Moseley|Brianna Fraser|Chloe Pavlech|Kiah Gillespie|S. Walker-Kimbrough",1,1,74,1.2,4,0,4,129.7
"2015-16","Brene Moseley|Brianna Fraser|Kiah Gillespie|Malina Howard|S. Walker-Kimbrough",1,1,74,1.2,0,2,-2,-64.9
"2015-16","Brene Moseley|Brianna Fraser|Kiara Leslie|Malina Howard|S. Walker-Kimbrough",1,2,74,1.2,0,4,-4,-129.7
"2015-16","A'Lexus Harrison|Brene Moseley|Kiah Gillespie|Kiara Leslie|Tierney Pfirman",1,1,72,1.2,2,2,0,0.0
"2015-16","Brene Moseley|Brianna Fraser|Brionna Jones|Kiara Leslie|Tierney Pfirman",1,1,72,1.2,2,0,2,66.7
"2015-16","Kiah Gillespie|Kiara Leslie|Kristen Confroy|Malina Howard|S. Walker-Kimbrough",1,1,71,1.2,0,0,0,0.0
"2015-16","Brene Moseley|Chloe Pavlech|Kiah Gillespie|Kiara Leslie|Kristen Confroy",1,1,67,1.1,2,3,-1,-35.8
"2015-16","Brionna Jones|Chloe Pavlech|Kiara Leslie|S. Walker-Kimbrough|Tierney Pfirman",3,3,65,1.1,7,1,6,221.5
"2015-16","A'Lexus Harrison|Aja Ellison|Brene Moseley|Brianna Fraser|Chloe Pavlech",1,1,62,1.0,0,0,0,0.0
"2015-16","Brene Moseley|Brianna Fraser|Chloe Pavlech|Kiara Leslie|Malina Howard",1,1,61,1.0,2,6,-4,-157.4
"2015-16","Aja Ellison|Brianna Fraser|Chloe Pavlech|Kiah Gillespie|Kristen Confroy",1,1,60,1.0,2,0,2,80.0
"2015-16","Brionna Jones|Chloe Pavlech|Kiara Leslie|Malina Howard|Tierney Pfirman",1,1,56,0.9,0,0,0,""
"2015-16","A'Lexus Harrison|Aja Ellison|Brene Moseley|Chloe Pavlech|Kiara Leslie",1,1,56,0.9,0,4,-4,""
"2015-16","Brene Moseley|Brionna Jones|Chloe Pavlech|Malina Howard|Tierney Pfirman",1,1,53,0.9,0,0,0,""
"2015-16","Brene Moseley|Brianna Fraser|Brionna Jones|Chloe Pavlech|S. Walker-Kimbrough",2,2,52,0.9,2,0,2,""
"2015-16","Brionna Jones|Chloe Pavlech|Kristen Confroy|Malina Howard|Tierney Pfirman",2,2,52,0.9,0,2,-2,""
"2015-16","A'Lexus Harrison|Aja Ellison|Brene Moseley|Brionna Jones|Kristen Confroy",1,1,48,0.8,2,0,2,""
"2015-16","Brene Moseley|Chloe Pavlech|Kiah Gillespie|S. Walker-Kimbrough|Tierney Pfirman",1,1,48,0.8,0,0,0,""
"2015-16","Aja Ellison|Brionna Jones|Chloe Pavlech|Kristen Confroy|S. Walker-Kimbrough",1,1,44,0.7,2,3,-1,""
"2015-16","Aja Ellison|Brene Moseley|Chloe Pavlech|Kiah Gillespie|Kristen Confroy",1,1,44,0.7,0,0,0,""
"2015-16","A'Lexus Harrison|Brionna Jones|Chloe Pavlech|Kiara Leslie|Kristen Confroy",1,1,40,0.7,2,0,2,""
