assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Kristen Confroy,Malina Howard,4,8,2.0,0,4,2,2,0
Malina Howard,Chloe Pavlech,4,10,2.5,2,2,1,1,0
Malina Howard,Kiara Leslie,3,8,2.67,2,1,1,0,0
Kiara Leslie,Brene Moseley,3,8,2.67,2,1,1,0,0
Malina Howard,Brene Moseley,3,9,3.0,3,0,0,0,0
Brene Moseley,A'Lexus Harrison,3,6,2.0,0,3,1,2,0
Tierney Pfirman,Brene Moseley,3,7,2.33,1,2,2,0,0
Tierney Pfirman,Malina Howard,3,6,2.0,0,3,3,0,0
Chloe Pavlech,Brianna Fraser,3,6,2.0,0,3,1,2,0
Kiah Gillespie,Brianna Fraser,3,6,2.0,0,3,2,1,0
Tierney Pfirman,Kristen Confroy,3,9,3.0,3,0,0,0,0
Brene Moseley,Chloe Pavlech,3,8,2.67,2,1,1,0,0
Kiah Gillespie,Chloe Pavlech,2,5,2.5,1,1,1,0,0
Kiara Leslie,S. Walker-Kimbrough,2,4,2.0,0,2,2,0,0
Kiara Leslie,Kristen Confroy,2,6,3.0,2,0,0,0,0
Kiah Gillespie,Tierney Pfirman,2,4,2.0,0,2,0,2,0
Kiah Gillespie,Malina Howard,2,4,2.0,0,2,1,1,0
A'Lexus Harrison,Kiah Gillespie,2,5,2.5,1,1,1,0,0
S. Walker-Kimbrough,Chloe Pavlech,2,6,3.0,2,0,0,0,0
Brionna Jones,Chloe Pavlech,2,6,3.0,2,0,0,0,0
Brionna Jones,Kristen Confroy,2,5,2.5,1,1,0,1,0
Malina Howard,Kiah Gillespie,2,4,2.0,0,2,0,2,0
Kiara Leslie,Tierney Pfirman,2,4,2.0,0,2,1,1,0
Brianna Fraser,Brionna Jones,2,4,2.0,0,2,1,1,0
Tierney Pfirman,Brianna Fraser,2,4,2.0,0,2,1,1,0
Brene Moseley,Aja Ellison,1,2,2.0,0,1,1,0,0
Kristen Confroy,Aja Ellison,1,2,2.0,0,1,0,1,0
Kiara Leslie,Chloe Pavlech,1,3,3.0,1,0,0,0,0
Brianna Fraser,A'Lexus Harrison,1,2,2.0,0,1,1,0,0
Brianna Fraser,S. Walker-Kimbrough,1,3,3.0,1,0,0,0,0
S. Walker-Kimbrough,A'Lexus Harrison,1,2,2.0,0,1,0,1,0
Malina Howard,A'Lexus Harrison,1,2,2.0,0,1,1,0,0
A'Lexus Harrison,Kristen Confroy,1,3,3.0,1,0,0,0,0
Kristen Confroy,Brianna Fraser,1,2,2.0,0,1,1,0,0
Malina Howard,Brianna Fraser,1,2,2.0,0,1,0,1,0
Alexis UDOJI,Brianna Fraser,1,2,2.0,0,1,1,0,0
Brianna Fraser,Kiara Leslie,1,2,2.0,0,1,1,0,0
Kiah Gillespie,Kristen Confroy,1,2,2.0,0,1,1,0,0
Asia Doss,Brene Moseley,1,2,2.0,0,1,0,1,0
Chloe Pavlech,Brene Moseley,1,3,3.0,1,0,0,0,0
Kiara Leslie,Brianna Fraser,1,2,2.0,0,1,1,0,0
Brianna Fraser,Tierney Pfirman,1,2,2.0,0,1,0,1,0
Tierney Pfirman,Kiara Leslie,1,2,2.0,0,1,1,0,0
Kiah Gillespie,Aja Ellison,1,2,2.0,0,1,1,0,0
Chloe Pavlech,A'Lexus Harrison,1,2,2.0,0,1,1,0,0
