source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2022,13137,2,443,01,Diamond Miller,2,10,Abby Meyers,3PTR,3,19.0,12.0,10 Abby Meyers 3PTR GOOD (5 Pt); 01 Diamond Miller Assist (2 Asst)
2022,13137,2,390,01,Diamond Miller,3,05,Brinae Alexander,3PTR,3,22.0,12.0,05 Brinae Alexander 3PTR GOOD (3 Pt); 01 Diamond Miller Assist (3 Asst)
2022,13137,2,362,10,Abby Meyers,2,01,Diamond Miller,LAYUP,2,24.0,15.0,01 Diamond Miller LAYUP GOOD (8 Pt); 10 Abby Meyers Assist (2 Asst)
2022,13137,2,336,01,Diamond Miller,4,00,Shyanne Sellers,LAYUP,2,26.0,15.0,00 Shyanne Sellers LAYUP GOOD (2 Pt); 01 Diamond Miller Assist (4 Asst)
2022,13137,3,590,01,Diamond Miller,5,10,Abby Meyers,3PTR,3,32.0,19.0,10 Abby Meyers 3PTR GOOD (8 Pt); 01 Diamond Miller Assist (5 Asst)
2022,13137,3,436,13,Faith Masonius,2,00,Shyanne Sellers,LAYUP,2,39.0,29.0,00 Shyanne Sellers LAYUP GOOD (5 Pt); 13 Faith Masonius Assist (2 Asst)
2022,13137,3,277,03,Lavender Briggs,2,13,Faith Masonius,JUMPER,2,43.0,31.0,13 Faith Masonius JUMPER GOOD (6 Pt); 03 Lavender Briggs Assist (2 Asst)
2022,13137,3,251,01,Diamond Miller,6,00,Shyanne Sellers,LAYUP,2,45.0,31.0,00 Shyanne Sellers LAYUP GOOD (7 Pt); 01 Diamond Miller Assist (6 Asst)
2022,13137,3,203,00,Shyanne Sellers,1,13,Faith Masonius,LAYUP,2,47.0,32.0,13 Faith Masonius LAYUP GOOD (8 Pt); 00 Shyanne Sellers Assist (1 Asst)
2022,13137,3,31,03,Lavender Briggs,3,13,Faith Masonius,LAYUP,2,52.0,35.0,13 Faith Masonius LAYUP GOOD (10 Pt); 03 Lavender Briggs Assist (3 Asst)
2022,13137,4,278,12,Elisa Pinzan,2,10,Abby Meyers,3PTR,3,63.0,45.0,10 Abby Meyers 3PTR GOOD (11 Pt); 12 Elisa Pinzan Assist (2 Asst)
2022,13137,4,251,12,Elisa Pinzan,3,10,Abby Meyers,3PTR,3,66.0,45.0,10 Abby Meyers 3PTR GOOD (14 Pt); 12 Elisa Pinzan Assist (3 Asst)
2022,13137,4,75,24,Bri McDaniel,1,00,Shyanne Sellers,JUMPER,2,70.0,50.0,00 Shyanne Sellers JUMPER GOOD (11 Pt); 24 Bri McDaniel Assist (1 Asst)
2022,13138,1,321,12,Elisa Pinzan,1,05,Brinae Alexander,3PTR,3,5.0,7.0,05 Brinae Alexander 3PTR GOOD (3 Pt); 12 Elisa Pinzan Assist (1 Asst)
2022,13138,1,145,12,Elisa Pinzan,2,13,Faith Masonius,JUMPER,2,12.0,9.0,13 Faith Masonius JUMPER GOOD (4 Pt); 12 Elisa Pinzan Assist (2 Asst)
2022,13138,2,571,03,Lavender Briggs,1,00,Shyanne Sellers,3PTR,3,13.0,15.0,00 Shyanne Sellers 3PTR GOOD (3 Pt); 03 Lavender Briggs Assist (1 Asst)
2022,13138,2,464,00,Shyanne Sellers,1,10,Abby Meyers,3PTR,3,15.0,20.0,10 Abby Meyers 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (1 Asst)
2022,13138,2,367,10,Abby Meyers,1,12,Elisa Pinzan,LAYUP,2,18.0,24.0,12 Elisa Pinzan LAYUP GOOD (4 Pt); 10 Abby Meyers Assist (1 Asst)
